Endereços;CEP
Avenida da Ecologia;60850290
Avenida Governador Raul Barbosa de 5727/5728 ao fim;60850665
Avenida Imperial;60850280
Praça Doutor Flávio Ponte;60850610
Rodovia BR-116 lado ímpar;60850015
Rodovia BR-116 lado par;60850012
Rua 1 (Cj Res Coração de Jesus);60850575
Rua 2 (Cj Res Coração de Jesus);60850585
Rua 3 (Cj Res Coração de Jesus);60850595
Rua 4 (Cj Res Coração de Jesus);60850605
Rua 5 (Cj Res Coração de Jesus);60850615
Rua Adolfo Quixadá;60850140
Rua Aspirante Mendes de 730/731 ao fim;60850705
Rua Brigadeiro Vilela;60850780
Rua Capitão Olavo de 836/837 ao fim;60850685
Rua Capitão Vasconcelos de 886/887 ao fim;60850680
Rua Catulo Cearense;60850120
Rua Cinderela;60850220
Rua Cláudio Coutinho;60850200
Rua Coronel Belo;60850130
Rua Coronel Gonçalo;60850530
Rua da Assembléia;60850350
Rua da Monarquia;60850390
Rua da Ponte Grande;60850190
Rua da República;60850380
Rua da Trindade;60850275
Rua do Congresso;60850370
Rua do Governo;60850410
Rua do Livramento;60850210
Rua do Palácio;60850320
Rua do Parlamento;60850400
Rua do Partido;60850300
Rua do Planalto;60850360
Rua do Principado;60850330
Rua do Reinado;60850340
Rua dos Antares;60850265
Rua dos Ministérios;60850310
Rua Doutor Amadeu Sá;60850100
Rua Doutor Pedro Rocha;60850010
Rua Eduardo Mamede;60850040
Rua General Lima e Silva;60850430
Rua Joaquim Barroso;60850150
Rua Jorge Nogueira;60850110
Rua José Maria Cardoso;60850070
Rua Major Gerardo Mendes de 790/791 ao fim;60850725
Rua Major José Araújo Aguiar;60850470
Rua Maria Pessoa;60850755
Rua Maringá;60850250
Rua Monte Cristo;60850270
Rua Novata;60850550
Rua Parque Augusto Severo;60850060
Rua Prisco Cruz;60850090
Rua Sabino Borges;60850080
Rua Sagrada Família;60850260
Rua Santa Joana D'Arc;60850180
Rua Sete Estrelas;60850240
Rua Tenente Aurélio Sampaio;60850690
Rua Tenente Jaime Andrade;60850720
Rua Tenente João Albano;60850710
Rua Tenente Wilson;60850810
Rua Teófilo Cordeiro;60850490
Rua Todos os Santos;60850230
Rua Zeromão Araújo;60850020
Travessa Aerovila;60850532
Travessa Alegrete;60850770
Travessa Coração;60850540
Travessa Coronel Gonçalo;60850570
Travessa da Alegria;60850590
Travessa Dário Pessoa;60850790
Travessa Flamengo;60850800
Travessa Frei Dário;60850152
Travessa Girão;60850510
Travessa Joaquim Barroso;60850160
Travessa Pocinho;60850031
Travessa Sagrado Coração;60850420
Travessa Santos Dumont;60850531
Travessa São Francisco;60850450
Travessa Sargento Pessoa;60850600
Travessa Sargento Portugal;60850520
Travessa Tenente Jaime Andrade;60850730
Travessa Teófilo Cordeiro;60850500
Vila Acaso;60850161
Vila Andrade Filho;60850170
Vila Bandeirante;60850695
Vila Brito;60850030
Vila Cardoso;60850620
Vila Chagas Mendes;60850760
Vila Chinesa;60850011
Vila da Palha;60850460
Vila Delfino Moreira;60850650
Vila Dominica;60850813
Vila Gisele;60850151
Vila Gomes;60850050
Vila Gonzaga;60850811
Vila Luís Augusto;60850440
Vila Mangabeira;60850812
Vila Maria Pessoa;60850750
Vila Maringá;60850551
Vila Milano;60850835
Vila Mineira;60850840
Vila Noeme;60850700
Vila Olímpica;60850630
Vila Pacheco;60850670
Vila Parque Juá;60850162
Vila Purificação;60850740
Vila Ribeiro;60850003
Vila Rufino;60850560
Vila Santa Edwirges;60850580
Vila São Francisco;60850521
Vila São Jorge;60850480
Vila Saraiva;60850715
Vila Silva;60850735
Vila Tião;60850111
Vila Três Irmãos;60850820
