Endereços;CEP
Avenida Borges de Melo;60415900
Avenida Lauro Vieira Chaves 1030;60422901
Avenida Senador Carlos Jereissati 3000;60741900
Avenida Aguanambi de 2271/2272 ao fim;60415390
Avenida Borges de Melo de 101 a 1021 lado ímpar;60415513
Avenida Borges de Melo de 102 a 1020 lado par;60415510
Avenida Senador Carlos Jereissati de 2996 ao fim lado par;60422899
Largo da Maravilha;60415325
Passeio Bonito;60415315
Praça Brigadeiro Eduardo Gomes;60422721
Praça Winston Churchill;60422745
Rua 1 (Pantanal Vila União);60422752
Rua 2 (Pantanal Vila União);60422742
Rua 3 (Pantanal Vila União);60422746
Rua 4 (Pantanal Vila União);60422744
Rua 5 (Pantanal Vila União);60422748
Rua 6 (Pantanal Vila União);60422750
Rua Aviador Celso Tinoco;60422650
Rua Bartolomeu de Gusmão até 799 lado ímpar;60415335
Rua Bom Jesus;60422665
Rua Cumbica;60415340
Rua da Luz;60415305
Rua da Missão;60422715
Rua Deocleciano Cavalcante;60422690
Rua do Galeão;60415380
Rua do Sol;60422630
Rua Doutor Laudelino Coelho;60415430
Rua Gravataí;60415350
Rua Guararapes;60415410
Rua Ipitanga;60415400
Rua João Bôsco;60422645
Rua Joaquim Pinho;60422710
Rua José Leandro;60422675
Rua Júpiter;60422570
Rua Marte;60422580
Rua Mercúrio;60422610
Rua Neturno;60422540
Rua Opaia;60422670
Rua Perolândia;60422695
Rua Plutão;60422620
Rua Professor Guilhon;60415330
Rua Santa Cruz;60415370
Rua Saturno;60422560
Rua Terra;60422590
Rua Três de Agosto;60422655
Rua Urano;60422550
Rua Vênus;60422600
Rua Via Láctea;60422640
Rua Wilson Justino;60422660
Travessa Afonso;60415360
Travessa Canudos;60415440
Travessa Cristo Rei;60422725
Travessa da Oficina;60422666
Travessa Feliz;60422662
Travessa José Augusto;60422705
Travessa Otacílio Orestes;60422692
Travessa Riachuelo;60415450
Vila Carolina;60415310
Vila Íris;60415320
Vila Nossa Senhora de Fátima;60422735
Vila Portela;60422702
Vila Portenha;60415300
Vila Sargento Verarde;60415420
