Endereços;CEP
Avenida Barão de Studart 1864 Loja A/B;60120959
Avenida Santos Dumont 1740 Loja 1;60150959
Avenida Santos Dumont 1740 Loja 2;60150973
Avenida Senador Virgílio Távora 999;60170959
Rua Maria Tomásia 683;60151959
Avenida Barão de Studart 1864 Loja A/B;60120970
Avenida Barão de Studart 1980;60120901
Avenida Padre Antônio Tomás 847;60140973
Avenida Santos Dumont 3665;60150900
Avenida Senador Virgílio Távora 999 Loja 07;60170971
Rua Barão de Aracati 909;60115901
Rua Leonardo Mota 1300;60170901
Rua Maria Tomásia 683;60150970
Rua Maria Tomásia 683;60150971
Rua Maria Tomásia 683 5º Andar;60150901
Avenida Almirante Henrique Sabóia de 3402 a 4490 lado par;60135272
Avenida Barão de Studart de 761 a 2061 lado ímpar;60120001
Avenida Barão de Studart de 762 a 2062 lado par;60120024
Avenida Desembargador Moreira de 901 a 2119 lado ímpar;60170001
Avenida Desembargador Moreira de 902 a 2120 lado par;60170002
Avenida Dom Luís lado par;60160196
Avenida Heraclito Graça de 917 ao fim lado ímpar;60140035
Avenida Heraclito Graça de 918 ao fim lado par;60140032
Avenida Júlio Ventura lado ímpar;60140231
Avenida Júlio Ventura lado par;60140230
Avenida Padre Antônio Tomás até 2494 lado par;60140160
Avenida Padre Antônio Tomás até 2495 lado ímpar;60140155
Avenida Rui Barbosa de 791/792 a 2099/2100;60115221
Avenida Santos Dumont de 2400 a 4998 lado par;60150162
Avenida Santos Dumont de 2401 a 3999 lado ímpar;60150165
Avenida Santos Dumont de 980/981 a 2398/2399;60150161
Avenida Senador Virgílio Távora de 891 a 2189 lado ímpar;60170079
Avenida Senador Virgílio Távora de 892 a 2190 lado par;60170078
Beco da Paizinha;60135305
Beco do Meio;60135345
Galeria Nice;60150270
Praça General Eudoro Correia;60170400
Praça Portugal;60170010
Rua Afonso Celso;60140190
Rua Alfredo Severo;60150040
Rua Ana Frank;60140150
Rua Antônio Augusto de 911/912 a 2099/2100;60110371
Rua Argemiro Valente;60125050
Rua Arquiteto João Braga Lima;60175030
Rua Barão de Aracati de 851/852 a 2099/2100;60115081
Rua Bárbara de Alencar de 851/852 ao fim;60140025
Rua Barbosa de Freitas de 901/902 a 2059/2060;60170021
Rua Beni Carvalho até 899 lado ímpar;60135400
Rua Capitão Antônio Aguiar;60115250
Rua Carlos Alberto Galvão;60115230
Rua Carlos Vasconcelos de 851/852 a 2099/2100;60115171
Rua Carolina Sucupira - até 1549/1550;60140120
Rua Carvalho Lima;60125040
Rua Catão Mamede;60140110
Rua Clube Iracema;60115128
Rua Coronel Jucá de 431/432 a 1689/1690;60170288
Rua Coronel Leocádio;60135030
Rua Coronel Linhares de 761/762 a 1989/1990;60170075
Rua Costa Barros de 1000/1001 ao fim;60160281
Rua da Alegria;60135380
Rua da Felicidade;60135370
Rua Demóstenes Brígido;60110420
Rua Desembargador Leite Albuquerque;60150150
Rua Dona Alexandrina;60125180
Rua Doutor José Lourenço de 771/772 a 1999/2000;60115281
Rua Doutor Mário dos Martins Coelho;60170280
Rua Eduardo Garcia;60150100
Rua Eduardo Salgado;60150140
Rua Fiuza de Pontes de 390/391 ao fim;60140195
Rua Fonseca Lobo;60175020
Rua Frederico Borges de 771/772 ao fim;60175084
Rua Frei Mansueto de 1332 ao fim lado par;60175082
Rua General Joaquim de Andrade;60150030
Rua General Melo Machado;60125200
Rua General Tertuliano Potiguara até 2299/2300;60135280
Rua Guanabara;60110440
Rua Ildefonso Albano de 891/892 a 2139/2140;60115125
Rua Isac Meyer;60160200
Rua Jaguaretama;60140050
Rua Jaguaribe;60125020
Rua Jaguaruana;60115240
Rua João Carvalho;60140140
Rua João Cordeiro de 883 a 2099 lado ímpar;60110301
Rua João Paulo II;60135350
Rua Joaquim Nabuco de 791/792 a 1979/1980;60125055
Rua Joaquim Siqueira;60170080
Rua Jorge da Rocha;60150080
Rua Jornalista Olavo Araújo;60135290
Rua José Vilar de 691/692 a 2049/2050;60125025
Rua Jovino Guedes;60140130
Rua Júlio Ventura;60150050
Rua Leonardo Mota de 901/902 a 2149/2150;60170041
Rua Limoeiro do Norte até 349/350;60135070
Rua Marcos Macêdo;60150190
Rua Marechal Rondon;60175060
Rua Maria Tomásia;60150170
Rua Medianeira;60140080
Rua Milagres;60110430
Rua Mombaca;60160190
Rua Monsenhor Antônio Souto;60135340
Rua Monsenhor Bruno de 821/822 a 2099/2100;60115191
Rua Monsenhor Catão até 1689/1690;60175000
Rua Norvinda Pires;60150280
Rua Nunes Valente de 821/822 a 1999/2000;60125035
Rua Osvaldo Cruz de 831/832 a 2069/2070;60125048
Rua Padre Luís Figueira de 231/232 ao fim;60150120
Rua Padre Quindere;60125060
Rua Padre Valdevino de 761 ao fim lado ímpar;60135041
Rua Paula Ney;60140200
Rua Pereira Filgueiras de 1002 ao fim lado par;60160194
Rua Pero Coelho de 991/992 ao fim;60140045
Rua Pinto Madeira de 1100/1101 ao fim;60150055
Rua Poeta Napoleão Menezes;60170290
Rua Professor Dias da Rocha de 671/672 a 1998/1999;60170285
Rua Professor Odilon Nestor;60115130
Rua Rocha Lima de 790/791 ao fim;60135285
Rua Sabino Pires;60150090
Rua Santa Catarina Laboré;60135360
Rua Santa Cecília;60135300
Rua Santa Inês;60135330
Rua São Vicente de Paula;60135320
