Endereços;CEP
Avenida Doutor Theberge de 710/711 a 1799/1800;60335480
Avenida Francisco Sá de 3966 a 4996 lado par;60335198
Avenida Francisco Sá de 3967 a 5359 lado ímpar;60335195
Avenida Pasteur;60335000
Avenida Presidente Castelo Branco de 3151 a 3483 lado ímpar;60335015
Avenida Tenente Lisboa de 2201/2202 ao fim;60310195
Galeria Wanda Teles;60336120
Largo do Mandacarú;60336032
Praça Coronel Carvalho;60335771
Rua Açucena;60335740
Rua Ana Faco;60335430
Rua Antonino Fontenele;60335440
Rua Antônio Joaquim de Carvalho;60336001
Rua Assis Bezerra;60335360
Rua Coelho da Fonseca;60335050
Rua Coelho Neto;60336210
Rua Condor;60335750
Rua Consul Gouveia;60335390
Rua Cravina;60335720
Rua Cruz e Sousa;60335490
Rua Cruzeiro do Sul;60335190
Rua Curió;60335680
Rua Demóstenes Rochet;60337110
Rua Diana Araripe Cabral;60337280
Rua Dico Felício;60336580
Rua do Oriente;60335110
Rua Dom José Tupinambá;60337100
Rua Dona Mendinha de 1109/1110 ao fim;60336035
Rua Donizete Teixeira de Lima;60336565
Rua Doutor Alfredo Weyne;60336030
Rua Doutor Hugo Rocha;60335770
Rua Doutor Vicente Arruda;60337290
Rua Elizabete Teixeira Mourão;60336575
Rua Engenheiro João Nogueira;60335140
Rua Engenheiro Lima Verde;60337270
Rua Ervália;60336191
Rua Estrela do Norte;60335375
Rua Ferreira dos Santos;60335560
Rua Francisco Calaça de 1231 ao fim lado ímpar;60336045
Rua Francisco Salgado;60337170
Rua Frederico de Andrade;60335380
Rua Frei Odilon até 665/666;60336190
Rua Frei Teobaldo;60335220
Rua Gomes Passos;60335060
Rua Ímpar;60335540
Rua Irineu de Sousa;60337180
Rua Jaçanã;60336040
Rua João Ribeiro;60335700
Rua João Teixeira;60335020
Rua Joaquim Dionísio de Lima;60336577
Rua Joaquim Pinto;60335520
Rua José Teixeira Lima;60336573
Rua Lírio;60337160
Rua Manacá;60335470
Rua Manuel Pereira;60336103
Rua Oito de Julho;60335496
Rua Omar Paiva;60335370
Rua Professor José Bonifácio;60335080
Rua Raimundo Galdino;60336110
Rua Raimundo Júnior;60335191
Rua Raimundo Noronha;60335558
Rua Raul Pompéia;60335420
Rua Riachuelo;60335580
Rua Rocha Pombo;60336200
Rua São Bernardo até 274/275;60335555
Rua São Francisco;60336095
Rua São Januário;60336090
Rua São Roque;60336060
Rua São Silvano;60335630
Rua Sílvio Romero;60336100
Rua Tenente José Barreira;60336050
Rua Tenente-Coronel Vilagran Cabrita;60335350
Rua Teodomiro de Castro;60336010
Rua Trevo;60335640
Rua Vicente Sabóia;60335010
Rua Violeta;60335460
Rua Walter Pompeu;60337120
Travessa Alagoas;60335240
Travessa Assis Bezerra;60335250
Travessa Barroso;60335760
Travessa Cardeiro;60335670
Travessa Coutinho;60335270
Travessa Cravina;60335730
Travessa dos Jasmins;60336038
Travessa dos Sabiás;60336042
Travessa Doutor Alfredo Weyne;60336031
Travessa Estela Matos;60337610
Travessa Ferreira dos Santos;60335570
Travessa Frei Odilon;60336130
Travessa Ímpar;60335550
Travessa Joaquim Pinto;60335530
Travessa Juruá;60335500
Travessa Manuel Pereira;60336096
Travessa Pacoti;60337630
Travessa Pedro Vieira Neto;60336570
Travessa Raimundo Júnior;60335180
Travessa Riachuelo;60335590
Travessa São Luís;60335340
Travessa São Roque;60336070
Travessa Tenente José Barreira;60336051
Travessa Trevo;60335650
Vila Amaraji;60337240
Vila Ana Lúcia;60335494
Vila Antônio Jorge;60337600
Vila Arsênio;60335410
Vila Carangola;60335260
Vila Coelho Neto;60336206
Vila Continental;60336560
Vila Curió;60335690
Vila Dona Toinha;60335100
Vila Eliel;60335660
Vila Elite;60336600
Vila Ester;60335495
Vila Felipe;60352180
Vila Figueira;60335780
Vila Germano;60335120
Vila Hugo Rocha;60335790
Vila Imaculada Conceição;60335280
Vila Inácio Costa;60335290
Vila Isabel;60352190
Vila J. A. Carvalho;60335150
Vila J. M. Lima;60337121
Vila João Ribeiro;60335710
Vila Joaquim de Paula;60335510
Vila Jofesil;60335600
Vila José Alves Carvalho;60335241
Vila Júnior;60335300
Vila Leorne;60335160
Vila Luís Augusto;60335800
Vila Macedônia;60336310
Vila Maria Barbosa;60335810
Vila Maria José;60310080
Vila Maria Teles;60337150
Vila Mariano;60335090
Vila Matilde;60335040
Vila Mesquita;60337130
Vila Mineirolândia;60335310
Vila Mirian;60335170
Vila Moura Tavares;60335030
Vila Neirilene;60335610
Vila Nereuda;60337140
Vila Nova;60335200
Vila Padre Germano;60335320
Vila Padre Lima;60335202
Vila Paulo Silveira;60335508
Vila Polinésia;60335830
Vila Praxedes;60335130
Vila Rafael;60335481
Vila Raquel;60335330
Vila Rocha Grande;60337030
Vila Rocilda Muniz;60335210
Vila Samaritana;60335620
Vila Santa Ana;60336330
Vila Santa Luzia;60335421
Vila Santo Antônio;60335230
Vila São Luís;60335400
Vila Sebastião Cravo;60335840
Vila Simplesmente Maria;60350610
Vila Soeiro;60335492
Vila Solano;60335450
Vila Três Poderes;60337590
Vila Verônica;60310200
Vila Videira;60335506
Vila Waldemar Falcão;60336000
Todos os Bairros de;
