Endereços;CEP;;;
Avenida Gonçalves Dias de 716/717 ao fim;60455605;;;
Avenida Humberto Monte de 1002 a 2390 lado par;60455682;;;
Avenida Jovita Feitosa de 891 a 3239 lado ímpar;60455473;;;
Praça Ary de Sá Cavalcante;60455730;;;
Praça Doutor Viriato de Medeiros;60455674;;;
Praça Professor Natanael Cortez;60455612;;;
Praça Santo Afonso;60455517;;;
Rua Abílio Martins até 1488/1489;60455472;;;
Rua Amadeu Furtado de 636/637 ao fim;60455485;;;
Rua César Fontenele;60455650;;;
Rua Cônego Penafort;60455620;;;
Rua Conselheiro Álvaro de Oliveira de 610/611 ao fim;60455555;;;
Rua Conselheiro Vieira da Silva de 751/752 ao fim;60455565;;;
Rua Damião Fernandes;60455600;;;
Rua Delmiro de Farias de 1981 ao fim lado ímpar;60455603;;;
Rua Dom José Lourenço de 721/722 ao fim;60455525;;;
Rua Dom Lino de 591/592 ao fim;60455545;;;
Rua Doutor Edson Braga;60455460;;;
Rua Érico Mota de 490/491 ao fim;60455495;;;
Rua General Bernardo Figueiredo de 401/402 a 3129/3130;60455475;;;
Rua General Piragibe de 590/591 ao fim;60455535;;;
Rua General Rangel;60455465;;;
Rua Lopes Filho;60455670;;;
Rua Nelson Machado;60455580;;;
Rua Nestor Barbosa;60455610;;;
Rua Pedro de Queiros de 576/577 ao fim;60455505;;;
Rua Professor Lino Encarnação de 576/577 ao fim;60455515;;;
Rua Professor Raimundo Vítor de 551/552 ao fim;60455455;;;
Rua Rotary;60455490;;;
Rua Rubi;60455690;;;
Rua Tenente Napoleão Rangel;60455450;;;
Rua Tipógrafo Sales de 610/611 ao fim;60455500;;;
Rua Violeiro Aderaldo;60455480;;;
Rua Xavier de Oliveira;60455660;;;
Rua Zemário Mamede;60455680;;;
Travessa Cônego Penafort;60455630;;;
Travessa Maravilha;60455516;;;
Travessa Parquelândia;60455494;;;
Vila Alcides Araújo;60455560;;;
Vila Carvalho;60455546;;;
Vila Gérson;60455530;;;
Vila Hermogenia;60455640;;;
Vila João Freitas;60455840;;;
Vila Joteros;60455618;;;
Vila Leda;60455502;;;
Vila Manuel Alves;60455590;;;
Vila Martins Araújo;60455570;;;
Vila Mil;60455518;;;
Vila Moisés Filho;60455520;;;
Vila Odílio;60455540;;;
Vila Paulo Sérgio;60455550;;;
Vila Pedro Mendes;60455498;;;
Vila Pinheiro;60455622;;;
Vila Santa Efigênia;60455510;;;
Vila Silvana;60455504;;;
Vila Sóstenes;60455662;;;
Vila Tirza;60455624;;;
Vila Vasconcelos;60455496;;;
