Endereços;CEP
Avenida do Vaqueiro;60874060
Rodovia BR-116 lado par;60874052
Rodovia Quarto Anel Viário lado ímpar;60874212
Rua A (Lot Portal de Iracema);60874245
Rua Ângelina Muniz;60874055
Rua Antônio Pita;60874190
Rua B (Lot Portal de Iracema);60874215
Rua Babilônia;60874130
Rua Brejo Santo;60874038
Rua C (Lot Portal de Iracema);60874243
Rua Campo do Cruzeiro;60874232
Rua Canaã;60874210
Rua Carlos Alberto Oriá;60874221
Rua Contorno da Ceasa;60874198
Rua D (Lot Portal de Iracema);60874185
Rua da Mangueira;60874233
Rua da Montada;60874076
Rua do Cruzeiro;60874230
Rua Dois Irmãos;60874042
Rua Dom Bosco;60874044
Rua Dulce Monteiro;60874145
Rua E (Lot Portal de Iracema);60874236
Rua Edésio Monteiro;60874110
Rua Estocolmo;60874180
Rua F (Lot Portal de Iracema);60874175
Rua Fernanda Bárbara de Alencar;60874090
Rua Fernando Barros de Alencar;60874085
Rua Flor de Santana;60874231
Rua Floresta;60874160
Rua Francisco Vieira;60874135
Rua Franco Xavier;60874070
Rua Hariberto Onofre;60874100
Rua Jardim Botânico;60874120
Rua José Agripino;60874240
Rua José do Carmo Barbosa;60874224
Rua José Marques;60874222
Rua José Ribeiro;60874125
Rua Joubran Sleiman;60874247
Rua Jurandir Leonel de Alencar;60874050
Rua Manoel Bernardo da Silva;60874095
Rua Manuel Peixoto;60874225
Rua Moisés Estevam da Silva;60874207
Rua Monsenhor Bezerra;60874200
Rua Monte Rosado;60874035
Rua Natália Monteiro;60874115
Rua Nossa Senhora Aparecida;60874195
Rua Nossa Senhora de Fátima;60874206
Rua Nossa Senhora de Lourdes;60874204
Rua Nova Esperança;60874155
Rua Oscar Romero;60874105
Rua Paulo André;60874030
Rua Pequeno Príncipe;60874045
Rua Rancho Alegre;60874242
Rua Santa Fé;60874140
Rua Santa Luzia;60874150
Rua São Francisco;60874208
Rua São Leopoldo;60874170
Rua Sol Nascente;60874228
Travessa Campo Verde II;60874032
Travessa Canaã;60874205
Travessa Chico Laio;60874072
Travessa Chico Mendes;60874065
Travessa Cruzeirinho;60874234
Travessa do Cajueiro;60874239
Travessa do Cruzeiro;60874226
Travessa do Nascente;60874214
Travessa Dom Pedro I;60874064
Travessa Fernanda;60874080
Travessa Flor de Santana;60874211
Travessa Flores;60874202
Travessa Floresta;60874162
Travessa Franco Xavier;60874075
Travessa Guarani;60874164
Travessa Horizonte;60874061
Travessa Inácio Oriá;60874238
Travessa José Marques;60874220
Travessa Manuel Peixoto;60874227
Travessa Novo Oriente;60874062
Travessa Rosa de Sarom;60874034
Travessa Rosa de Sarom II;60874036
Travessa Santa Cassiana;60874040
Travessa Santa Rita;60874168
Travessa São Mateus;60874216
Travessa São Paulo de Santa Fé;60874218
Travessa Vacaria;60874068
Travessa Vinhedo;60874066
Vila Nova Jerusalém;60874194
Vila Santa Fé;60874166
