Endereços;CEP
Avenida Mister Hull 5329;60356972
Alameda Doutor Pedro Frederico de Araújo Pontes;60360725
Avenida Coronel Matos Dourado até 664 lado par;60360590
Avenida Mister Hull de 4383 a 5599 lado ímpar;60356675
Avenida Mister Hull de 4384 a 5598 lado par;60356682
Avenida Mister Hull de 5601 ao fim lado ímpar;60360845
Avenida Mister Hull de 5602 ao fim lado par;60360842
Avenida Sargento Hermínio Sampaio de 4941 ao fim lado ímpar;60350485
Avenida Sargento Hermínio Sampaio de 4942 ao fim lado par;60350484
Avenida Via Férrea Sobral lado ímpar;60350355
Conjunto Aeronáutica;60361050
Galeria Aliança de Ouro;60361080
Praça Ipiranga;60361120
Praça José Acioly;60350310
Praça José Leitão;60360808
Praça José Moreira Leitão;60360804
Praça Manuel Vitoriano;60361160
Praça Padre Josefino Cabral;60352380
Praça Professor Serrano Bezerra;60360812
Rua 1 (Cj Parque Monsenhor Tabosa);60360052
Rua 1 (Cj Tupinambá da Frota);60361260
Rua 2 (Cj Parque Monsenhor Tabosa);60360054
Rua 2 (Cj Tupinambá da Frota);60361270
Rua 3 (Cj Tupinambá da Frota);60361280
Rua 4 (Cj Tupinambá da Frota);60361290
Rua 5 (Cj Tupinambá da Frota);60361291
Rua 6 (Cj Tupinambá da Frota);60361292
Rua 7 (Cj Tupinambá da Frota);60361295
Rua Água Clara;60360140
Rua Ana Julião;60350420
Rua Anário Braga;60350350
Rua Antônio Gualberto de Sales;60356570
Rua Balduíno Freire de 961/962 ao fim;60356575
Rua Bertoldo Mota;60352250
Rua Campina da Lagoa;60360150
Rua Cândido Maia;60356830
Rua Cantor Carlos Augusto;60352400
Rua Capitão Brasil;60356590
Rua Cerro Cora;60356700
Rua Demétrio Menezes até 3930 lado par;60356552
Rua do Canal (Cj Tupinambá da Frota);60361300
Rua Doutor Catunda Gondim;60356581
Rua Doutor João Guilherme;60356770
Rua Doutor Manuel Soares;60360050
Rua Doutor Mozart Viana do Amaral;60356710
Rua Doutor Periguari;60360600
Rua Engenheiro Seraine;60356660
Rua Francisco Barbosa Pinheiro;60360810
Rua Francisco Rocha;60361110
Rua Frota Pessoa;60352260
Rua Gois Monteiro de 1071/1072 ao fim;60356565
Rua Hipólito Pamplona até 199/200;60352390
Rua Hipólito Pamplona de 201/202 ao fim;60360120
Rua Hugo Vítor;60360820
Rua Ipanema;60356810
Rua Itainara;60360401
Rua Joaquim Albano de 991/992 ao fim;60356585
Rua Joaquim Franklin;60361130
Rua Joaquim Leitão;60360840
Rua Joaquim Rodrigues;60360130
Rua José Acioly;60350300
Rua Major Celestino;60361030
Rua Manuel Nunes;60356835
Rua Manuel Pereira Pinto;60350400
Rua Martins Neto de 100/101 ao fim;60360415
Rua Noca Bezerra;60360700
Rua Oito de Dezembro;60360750
Rua Osasco;60356560
Rua Padre José Arteiro;60360060
Rua Padre Perdigão Sampaio de 400/401 a 748/749;60352350
Rua Padre Perdigão Sampaio de 750/751 a 1122/1123;60361010
Rua Pedro Melo;60360220
Rua Presidente Prudente;60352330
Rua Professor Joaquim Nogueira;60360760
Rua Professor Leite Gondim de 306/307 ao fim;60360332
Rua Professora Raimunda Adélia;60350330
Rua Rui Monte;60360640
Rua Salgado Filho até 199/200;60352360
Rua Salgado Filho de 201/202 ao fim;60361020
Rua Salvador;60360410
Rua São Domingos;60356840
Rua São Vicente de Paulo;60352370
Rua Sargento José Pinto;60357010
Rua Serrano Bezerra;60360811
Rua Silva do Carmo;60360721
Rua Taguatinga;60356820
Rua Tenente Lourival Aguiar;60360420
Rua Tenente Queirós;60360170
Rua Tereza Ferreira;60360406
Rua Tomás Rodrigues até 349/350;60352310
Rua Tomás Rodrigues de 351/352 ao fim;60361000
Rua Vale Costa;60360720
Rua Viena;60361040
Travessa Almeida;60350482
Travessa Amizade;60360404
Travessa Anário Braga;60350340
Travessa Antônio Joaquim;60350410
Travessa Balduíno Freire;60356640
Travessa Bertoldo Mota;60352270
Travessa Boata;60356610
Travessa Celeta;60350470
Travessa Coxim;60360110
Travessa do Riacho;60360403
Travessa Enilda;60352271
Travessa Fafá;60360402
Travessa Frota Pessoa;60350316
Travessa Haiti;60356580
Travessa Joaquim Nogueira;60360800
Travessa Manoel Soares;60360051
Travessa Manuel Nunes;60356845
Travessa Maria José;60357130
Travessa Mendonça;60360240
Travessa Moreira;60360260
Travessa Nelson Machado;60360740
Travessa Resistência;60360405
Travessa Rui Monte;60360210
Travessa Santa Maria;60356620
Travessa São Domingos;60356841
Travessa São Vicente de Paula;60350416
Travessa Seleta;60350352
Travessa Tomás Rodrigues;60352320
Travessa Vale Costa;60361070
Travessa Vicente Sales;60352340
Vila Acal;60360160
Vila Arino;60357050
Vila Assis Barreto;60356760
Vila Aurina Braga;60356630
Vila Balduíno Freire;60356650
Vila Bezerra;60360200
Vila Brasil;60360802
Vila Brito Barbosa;60361210
Vila Canudo;60360730
Vila Carneiro;60350460
Vila Celestino;60360090
Vila Chagas Matias;60360601
Vila Cisne;60360690
Vila Coelho Xavier;60356780
Vila Concórdia;60360320
Vila Dimas;60350440
Vila Dona Luíza;60360290
Vila Dona Luzia;60361100
Vila Doutor Marbel;60360602
Vila Edmundo;60360100
Vila Florêncio;60352280
Vila Floriano;60360650
Vila Frota;60356680
Vila Galdêncio;60360610
Vila Gerardo;60350380
Vila Gleice Magno;60360780
Vila Glorice;60352290
Vila Gustavo Correia Lima;60360710
Vila Henrique;60352300
Vila Inácio;60360630
Vila Inácio José;60356790
Vila José Costa;60350370
Vila José de Lima;60360350
Vila José e Maria;60356705
Vila José Machado;60360180
Vila Juvêncio;60350360
Vila Linhares;60360310
Vila Lisbonense;60360641
Vila Luzanira;60360620
Vila Magalhães;60350430
Vila Magnólia;60360806
Vila Marcilene;60361170
Vila Marilde;60360190
Vila Marilena;60350422
Vila Martins Cipriano;60360660
Vila Mateus;60356690
Vila Miralta;60360080
Vila Miranda;60361180
Vila Mirtênio;60356740
Vila Nossa Senhora da Penha;60360121
Vila Nova Europa;60350490
Vila Osana;60360300
Vila Ossian;60350450
Vila Paiva;60361200
Vila Panorama;60350390
Vila Papai do Céu;60360830
Vila Pedro Joaquim;60360280
Vila Pinheiro;60356720
Vila Prata;60360230
Vila Prestígio;60360680
Vila Professor Serrano Bezerra;60361240
Vila Quincas Moreno;60360270
Vila Real;60350426
Vila Resende;60356750
Vila Sampaio;60356670
Vila Santa Ana;60356730
Vila Santa Brígida;60356800
Vila Santa Vitória;60360221
Vila Santana;60350436
Vila Santo Antônio;60360670
Vila São Brás;60360340
Vila Sargento de Sousa;60350486
Vila Simone;60360765
Vila Soares Mota;60360770
Vila Sousa Padilha;60356600
Vila Torre Eiffel;60360250
Vila Xavier;60350406
Vila Zélia;60360070
Vila Zorilda;60350480
