Endereços;CEP
Avenida A (Lot Planalto Aracapé);60764652
Avenida C (Cj Aracapé);60765052
Avenida Edson Magalhães;60765241
Avenida Maria Gomes de Sá de 971 ao fim lado ímpar;60764582
Rodovia Doutor Mendel Steinbruch - de 5960 ao fim - lado par;60765005
Rua 05 do Loteamento Planalto Aracapé;60764672
Rua 1 (Lot Boa Ventura);60765355
Rua 10 (Lot Planalto Aracapé);60764697
Rua 11 (Lot Planalto Aracapé);60764702
Rua 12 (Lot Planalto Aracapé);60764705
Rua 2;60764650
Rua 2 (Lot Boa Ventura);60765345
Rua 2 (Lot Planalto Aracapé);60764657
Rua 2A;60764660
Rua 4 de Outubro;60765145
Rua 7 (Lot Boa Ventura);60765365
Rua 7 (Lot Planalto Aracapé);60764682
Rua 9 (Lot Planalto Aracapé);60764692
Rua A (Lot Aracapé);60765375
Rua A (Lot Prq Aracapé);60767605
Rua Alan Castelo;60765240
Rua Amélia Conde;60764590
Rua Ana Brito;60765025
Rua Angelim;60764615
Rua Antônio Moreira de Souza;60765064
Rua Aureliano Leal;60764425
Rua B (Lot Aracapé);60765374
Rua B (Lot Planalto Aracapé);60764655
Rua B (Lot Prq Aracapé);60767595
Rua Bloco A;60764593
Rua Bloco E;60764597
Rua Cachoeira Alegre de 570/571 ao fim;60764440
Rua Carlos César Moreira;60765054
Rua Carlos Estevo;60764470
Rua Cosma Bezerra;60765100
Rua Cosme e Jerônimo;60764520
Rua Cosme Gerônimo;60765378
Rua D (Lot Planalto Aracapé);60764662
Rua da Paz;60767300
Rua Danilo Osterno Teles;60765056
Rua Doutor Procópio;60764605
Rua E (Lot Planalto Aracapé);60764667
Rua F do Loteamento Esplanada do Mondubim;60765275
Rua Ferdinando Alves de Sousa;60765057
Rua Francisco Alves;60765120
Rua Hércules de Miranda;60764780
Rua Iracema;60764550
Rua Jacanauba de 137/138 ao fim;60764830
Rua Jacopemba;60765000
Rua Jacy;60764840
Rua Janamba;60764585
Rua Janaúba;60764595
Rua Jangal;60765010
Rua Jatay;60765030
Rua Jequitibá;60765040
Rua Joana D'Arc;60764560
Rua José Gomes Sales;60764580
Rua Juvêncio Sales;60764600
Rua Laureano Leal de 181/182 ao fim;60765372
Rua Lima Alves;60765067
Rua Luciano Silva;60765150
Rua Luiz Porfírio Sales;60765075
Rua Maria de Nazaré;60765180
Rua Miguel Aragão;60765065
Rua Montenegro;60765062
Rua N;60765137
Rua Nair Azevedo - de 1008/1009 ao fim;60765370
Rua Nilo Firmeza;60764584
Rua Nordica;60764465
Rua Nossa Senhora Aparecida;60765135
Rua Osmar Baltazar Sabóia;60765069
Rua Otávio Lima;60764545
Rua Paulo Mendonça;60765380
Rua Pedro Julião;60765410
Rua Petrólia;60765430
Rua Poliana;60765450
Rua Presidente Vargas lado ímpar;60765385
Rua Rui Marlio Osterne;60765058
Rua Santa Madalena;60764687
Rua São Francisco;60764700
Rua São João;60752275
Rua São João Batista;60764505
Rua São Jorge;60765254
Rua São José do Aracape;60767610
Rua São Turíbio;60764677
Rua Sargento Neri de 980/981 ao fim;60765174
Rua Tenente Osvaldo Lima;60765055
Rua Vinte e Cinco de Maio;60764640
Travessa Álvaro Chaves;60764835
Travessa Amélia Conde;60764642
Travessa Doutor Procópio;60764602
Travessa Iracema;60764645
Travessa Jacanaúba;60765017
Travessa Jacarandá;60764570
Travessa João Jacó;60764555
Travessa Maria Gomes de Sá;60765080
Travessa Menino Jesus;60764485
Travessa Paulo Mendonça;60765382
Travessa São João;60764500
Travessa São João Batista;60764515
Travessa São João do Mondubim;60765035
Travessa São Jorge;60767608
Travessa São Sebastião;60765130
Travessa Sargento Domingos;60764565
Travessa Tenente Osvaldo Lima;60765095
Travessa Valença;60764575
Travessa Vinte e Cinco de Maio;60764630
Travessa Virgolândia;60765015
Vila Marcondes;60764525
Vila Nazaré;60765190
Vila Olinda;60765290
Vila São José do Mondubim;60765045
