Endereços;CEP
Avenida da Liberdade até 699/700;60527020
Avenida Senador Fernandes Távora de 2147 a 2961 lado ímpar;60526641
Avenida Senador Fernandes Távora de 2148 a 2960 lado par;60526642
Rua 1 (Cj Res Boa Vista);60527440
Rua 2 (Cj Res Boa Vista);60527400
Rua 3 (Cj Res Boa Vista);60527410
Rua 4 (Cj Res Boa Vista);60527420
Rua Aline;60526733
Rua Antônio Carlos da Silva;60526620
Rua Arroio Chuí;60526610
Rua Azevedo Barreto;60527050
Rua Barão de Cotegipe;60526730
Rua Belém de 301/302 ao fim;60526345
Rua Caetano Silva;60526840
Rua Cardeal Arcoverde;60526400
Rua Curitiba de 1133/1134 ao fim;60526775
Rua da Resistência;60526600
Rua Daniel de Castro;60527160
Rua Desembargador Felismino;60526760
Rua Dez de Março;60526630
Rua do Acampamento;60526738
Rua do Sacramento;60527330
Rua Dom Pedro I;60526735
Rua dos Pinhais;60527060
Rua Elesbão Veloso;60526380
Rua Enxui;60527190
Rua Florianópolis de 1821/1822 ao fim;60526705
Rua Glória de Dourados;60526655
Rua Goiânia de 2041/2042 ao fim;60526724
Rua Goiatuba;60526715
Rua Graco Cardoso até 799/800;60527000
Rua Inácio Romão;60526790
Rua Independência;60526825
Rua Jandira;60526810
Rua José Augusto Carvalho;60526745
Rua José Carvalho;60527010
Rua Lavras do Sul;60526645
Rua Lúcio Braz;60527210
Rua Macapá de 631/632 ao fim;60526395
Rua Manaus de 1051/1052 ao fim;60526375
Rua Miquelândia;60526732
Rua Nova Veneza;60526800
Rua Novo Oriente;60526734
Rua Oriente;60527015
Rua Padre Perdigão Sampaio de 1124/1125 ao fim;60527450
Rua Paulo Mota;60526647
Rua Pedro Victor;60526755
Rua Porto Alegre de 1601/1602 ao fim;60526725
Rua Primavera;60526648
Rua Professor Edgard de Arruda de 2127/2128 ao fim;60526639
Rua Professor Vieira;60526450
Rua Professor Virgílio Morais;60526720
Rua Raimundo Nunes;60526761
Rua Raimundo Ribeiro;60526500
Rua Sousa Leão;60526820
Rua Tancredo Neves;60526590
Rua Tomás Cavalcante;60526550
Rua Virgílio Brandão;60526640
Travessa Alagado;60527070
Travessa Alvorada;60527090
Travessa Carandir;60526401
Travessa Cardeal Arco Verde;60526425
Travessa Chapada;60526830
Travessa da Paz;60527031
Travessa Dois de Junho;60527022
Travessa Genibau;60527040
Travessa Michele;60527005
Travessa Natividade;60527230
Travessa Oriente;60527011
Travessa Paragominas;60526782
Travessa Parintins;60527270
Travessa Pau d'ario;60527260
Travessa Pitombeiras;60527275
Travessa Ponta Porã;60527310
Travessa Santa Teresinha;60526722
Travessa São João;60527390
Travessa São Jorge;60526723
Travessa São Vicente;60526721
Travessa Tenente Macêdo;60526490
Travessa Tocantins;60527350
Travessa Turiacu;60526778
Travessa Vavá;60527021
Travessa Vinte e Cinco de Agosto;60527030
Vila Alterosa;60527080
Vila Alto da Vazante;60526570
Vila Amarante;60526470
Vila Andradina;60527110
Vila Anita;60526420
Vila Assunção;60526390
Vila Audivânia;60526342
Vila Beleza;60526650
Vila Benfica;60527130
Vila Catalão;60526764
Vila Cezinha;60527180
Vila Cirio de Nazaré;60526728
Vila Criciúma;60527140
Vila Dalmanuta;60527150
Vila Diplomata;60527170
Vila do Carpinteiro;60526580
Vila do Pequeno;60526680
Vila dos Dezoito;60526690
Vila Eudócio;60526560
Vila Francisco de Assis;60526700
Vila Geovânia;60526780
Vila Gorete;60526460
Vila Ivonete;60526530
Vila Jericó;60526520
Vila Jesselene;60526510
Vila Leal;60526660
Vila Leandro;60526521
Vila Liduina;60527360
Vila Lúcia;60526410
Vila Maracanã;60526370
Vila Massa;60526540
Vila Matriz;60526340
Vila Mendonça;60526740
Vila Moscou;60527220
Vila Orlando;60527240
Vila Paciência;60527250
Vila Pampunha;60526440
Vila Parmenes;60526710
Vila Passira;60527280
Vila Paulo Sampaio;60527290
Vila Pomar;60527300
Vila Raimunda;60527370
Vila Raimunda Nunes;60527380
Vila Rainha da Paz;60527295
Vila Santa Bárbara;60527340
Vila Santiago;60527375
Vila São Francisco;60526670
Vila São Raimundo;60526480
Vila Sargento Eudócio;60526750
