Endereços;CEP
Alameda Balanço das Ondas;60334172
Alameda Briza do Mar;60334175
Alameda Jaime Augusto Reul;60332180
Alameda Luz do Sol;60334182
Avenida Coronel Carvalho até 1359 lado ímpar;60330778
Avenida Francisco Sá de 5362 ao fim lado par;60330878
Avenida Francisco Sá de 5857 ao fim lado ímpar;60330875
Avenida Hildebrando Melo até 598/599;60330375
Avenida Luís de Camões;60332830
Avenida Presidente Castelo Branco de 4237 ao fim lado ímpar;60334105
Avenida Presidente Castelo Branco de 4238 ao fim lado par;60334100
Avenida Radialista José Lima Verde;60331460
Avenida Vinte de Janeiro;60331200
Beco Popular;60331380
Beco Vitória;60332774
Contorno Castelo Branco;60331495
Estrada do Castelo;60332730
Praça Alberto de Souza;60331462
Praça Augusto Renê;60332220
Praça Doutor Jurandir Picanco;60332820
Praça Marcelo Prestes de Queiroz;60330440
Praça Nova Lisboa;60330012
Praça Santiago da Barra do Ceará;60332815
Praia das Goiabeiras;60333260
Rua 1 (Cj Hermes Pereira/Barra Mar);60330065
Rua 1 (Cj Padre Santana);60330781
Rua 1 (Cj Sítio Aratanha);60333360
Rua 10 (Cj Padre Santana);60330791
Rua 11 (Cj Padre Santana);60330792
Rua 2 (Cj Hermes Pereira/Barra Mar);60330075
Rua 2 (Cj Padre Santana);60330782
Rua 2 (Cj Sítio Aratanha);60333370
Rua 3 (Cj Hermes Pereira/Barra Mar);60330085
Rua 3 (Cj Padre Santana);60330783
Rua 3 (Cj Sítio Aratanha);60333380
Rua 4 (Cj Hermes Pereira/Barra Mar);60330095
Rua 4 (Cj Padre Santana);60330784
Rua 4 (Cj Sítio Aratanha);60333390
Rua 5 (Cj Hermes Pereira/Barra Mar);60330105
Rua 5 (Cj Padre Santana);60330785
Rua 5 (Cj Sítio Aratanha);60333400
Rua 6 (Cj Hermes Pereira/Barra Mar);60330115
Rua 6 (Cj Padre Santana);60330786
Rua 6 (Cj Sítio Aratanha);60333410
Rua 7 (Cj Hermes Pereira/Barra Mar);60330123
Rua 7 (Cj Padre Santana);60330787
Rua 8 (Cj Padre Santana);60330788
Rua 9 (Cj Padre Santana);60330789
Rua A (Cj Jacyara);60330820
Rua A (Cj José Marinho Vasconcelos);60330351
Rua Abel Ferreira;60332460
Rua Abelardo Barbosa;60332840
Rua Airton Rodrigues;60332720
Rua Alberto de Oliveira;60330530
Rua Alto da Esperança;60332060
Rua Alto Mar;60332350
Rua Álvaro Garrido;60330310
Rua Alvorada;60333000
Rua Amadeu de Castro;60312250
Rua Amor Perfeito;60330490
Rua Antares;60330400
Rua Antônio Moreira;60331450
Rua Antunini Martins Pinto;60334205
Rua Aquariús;60330410
Rua Arabaiana;60332440
Rua Araci;60330480
Rua Araquém;60331120
Rua Aratanha;60331020
Rua Arco Verde;60332100
Rua Arquimedes Memória;60330290
Rua Aruana;60332550
Rua Astrogildo Fontoura;60330330
Rua B (Cj José Marinho Vasconcelos);60330352
Rua B (Cj Popular);60330772
Rua Bambuí;60333020
Rua Barra Vento;60332600
Rua Beco da Paz;60333740
Rua Bom Jesus;60332630
Rua Brizamar;60332090
Rua C (Cj Jacyara);60330840
Rua C (Cj José Marinho Vasconcelos);60330353
Rua C (Cj Popular);60330774
Rua Cabo Frio;60334125
Rua Cabo Reis;60331420
Rua Caetano José;60333650
Rua Canário;60331130
Rua Cândido Castelo Branco;60331190
Rua Canopus;60330390
Rua Caravelas;60332450
Rua Carlos Chagas;60332772
Rua Castanhal;60331470
Rua Caubi;60331100
Rua Ceci;60331260
Rua Central;60333030
Rua César Correia até 709/710;60334130
Rua Chico Mendes;60333720
Rua Chico Xavier;60332320
Rua Cinco de Junho;60330812
Rua Cinco de Maio;60331670
Rua Circulação I (Cj Hermes Pereira/Barra Mar);60330005
Rua Circulação II (Cj Hermes Pereira/Barra Mar);60330015
Rua Circulação III (Cj Hermes Pereira/Barra Mar);60330025
Rua Cleide Sousa;60331108
Rua Coelho Neto;60331010
Rua Colibri;60331101
Rua Coqueiro Verde;60332580
Rua Coronel Humberto Marques;60334015
Rua Costa Manso;60330175
Rua D (Cj Jacyara);60330830
Rua D (Cj José Marinho Vasconcelos);60330354
Rua D (Cj Popular);60330776
Rua da Paz;60333140
Rua da Salema;60332410
Rua da União;60333705
Rua Daniel Bruno;60332030
Rua Daniele Mesquita Pereira;60330860
Rua Darlene Cavalcante;60334000
Rua das Canoas;60332360
Rua das Flores;60332420
Rua das Hortaliças;60332110
Rua das Hortas;60332480
Rua das Marisqueiras;60334003
Rua das Palmas;60332340
Rua das Taparicas;60333270
Rua das Tarrafas;60332520
Rua Desembargador Hermes Parahyba até 498/499;60330142
Rua Dez de Abril;60333540
Rua Dezenove de Abril;60331610
Rua Dezesseis de Julho;60333520
Rua Dezessete de Dezembro;60333510
Rua do Bambu;60332430
Rua do Leme;60332370
Rua do Oriente;60332495
Rua do Poente;60332490
Rua do Recanto;60333365
Rua do S;60331620
Rua Dom Lustosa;60333040
Rua Domingos da Veiga;60332000
Rua Dona Filó;60330060
Rua Dona Guilhermina;60330145
Rua dos Abolicionistas;60332400
Rua dos Bandeirantes;60333475
Rua dos Holandeses;60332540
Rua dos Pescadores;60334004
Rua dos Seixos;60332560
Rua Doutor Ambrósio Carneiro;60330360
Rua Doutor José Roberto Sales;60332810
Rua Doze de Maio;60333590
Rua E (Cj José Marinho Vasconcelos);60330359
Rua Edgar Damasceno;60331155
Rua Edson Queiroz;60331535
Rua Edu da Gaita;60332610
Rua Elizeth Cardoso;60331500
Rua Elizeu Barros de Souza;60334002
Rua Encanto da Barra;60332390
Rua Encanto da Carol;60332701
Rua Eneide Menezes;60333630
Rua Engenheiro Waldir Leopecio;60332790
Rua Estevão de Campos;60331240
Rua Estrela do Mar;60332050
Rua F (Cj José Marinho Vasconcelos);60330358
Rua Felipe Freitas;60331104
Rua Flamengo;60331572
Rua Flor de Liz;60330516
Rua Flor do Lírio II;60330518
Rua Florêncio de Alencar até 898/899;60330055
Rua Floriano Régis;60332643
Rua Francisco Calaça até 1230 lado par;60334110
Rua Francisco Manuel Bonfim de Carvalho;60330848
Rua Francisco Raimundo Geraldo Bezerra Carvalho;60330850
Rua Frei Damião;60333050
Rua Frota Cavalcante;60334070
Rua G (Cj José Marinho Vasconcelos);60330357
Rua General Muniz Aragão;60332660
Rua Gentileza;60331510
Rua Geraldo Lino Braga de Cavalho;60330852
Rua Graça Alcançada;60333060
Rua Graça Aranha até 719/720;60334170
Rua Grêmio;60331571
Rua Grito de Alerta;60332070
Rua H (Cj José Marinho Vasconcelos);60330356
Rua Helenice Paiva Menezes;60330845
Rua Imperatriz;60333070
Rua Irapuã;60331300
Rua Irmã Ana Maria;60332240
Rua Ítalo;60331112
Rua Jacauna;60332530
Rua Jaci;60330470
Rua Jackson do Pandeiro;60332510
Rua Jacó do Bandolim;60332500
Rua Jandira;60330460
Rua Jangada;60331290
Rua Jerônimo Albuquerque;60331750
Rua Joaima;60331230
Rua Joaquim Machado da Ponte;60330165
Rua José Arimatéia Pinto;60334200
Rua José Luís Neto;60334005
Rua José Rodrigues;60333155
Rua José Vilar;60331530
Rua Juracy Magalhães;60334090
Rua Lago Azul;60332080
Rua Lagoa do Abaeté;60332590
Rua Lara;60330527
Rua Larga;60333090
Rua Leidiana Rocha Lima;60330862
Rua Leuba;60331540
Rua Lídia Petri Gonçalves;60332760
Rua Manuel Carneiro;60330522
Rua Manuel Dário;60331430
Rua Manuel Gadelha;60332770
Rua Manuel Moura;60330780
Rua Marcos;60331050
Rua Marechal Napion;60332690
Rua Maria da Conceição Ponciano;60331400
Rua Maria Júlia;60333660
Rua Marília de Dirceu;60331390
Rua Mário Campos;60341820
Rua Marisol;60333110
Rua Marta Cambraia;60334020
Rua Moacir;60332650
Rua Morro Branco;60332620
Rua Mota Cambraia;60334040
Rua Niterói;60331560
Rua Nossa Senhora da Paz;60333120
Rua Nova;60332160
Rua Novo Lar;60333330
Rua Oeste;60331740
Rua Orquídea;60332413
Rua Otacílio Carneiro;60330521
Rua Padre Bernardo;60332140
Rua Padre Cícero;60333130
Rua Padre Haroldo Coelho;60332040
Rua Padre Henrique;60333240
Rua Pajé;60331320
Rua Pantanal;60331580
Rua Paquetá;60333071
Rua Paraíso do Norte;60330185
Rua Parque Vila Velha I (Cj Hermes Pereira/Barra Mar);60330035
Rua Parque Vila Velha II (Cj Hermes Pereira/Barra Mar);60330045
Rua Paulo Aragão;60331590
Rua Paz e Prosperidade;60332270
Rua Pedro Rodrigues;60333640
Rua Pereira Júnior;60332411
Rua Peri;60331270
Rua Pescador Francisco Simão;60332330
Rua Pioneira;60333150
Rua Por do Sol;60332470
Rua Poti;60331340
Rua Presidente Silva;60333156
