Endereços;CEP
Avenida Capitão Waldemar Paula Lima 700;60862903
Avenida Capitão Hugo Bezerra;60862730
Avenida Capitão Waldemar Paula Lima;60862580
Avenida Jornalista Tomaz Coelho de 1192 ao fim lado par;60863254
Avenida Presidente Costa e Silva lado par;60863503
Praça Remo;60862770
Rodovia BR-116 lado par;60862764
Rua 1 (Cj Antônio Correia);60863425
Rua 1 (Cj Jardim Glória);60862735
Rua 1 (Cj João Paulo II);60863765
Rua 1 (Res Nova Assunção);60863065
Rua 10 (Cj João Paulo II);60863630
Rua 10 (Lot Fortaleza Sul);60862608
Rua 11 (Cj João Paulo II);60863670
Rua 12 (Cj João Paulo II);60863640
Rua 12 (Lot Terra Nova);60863012
Rua 13 (Cj João Paulo II);60863780
Rua 13 (Lot Terra Nova);60863013
Rua 14 (Cj João Paulo II);60863770
Rua 14 (Lot Terra Nova);60863016
Rua 15 (Cj João Paulo II);60863760
Rua 16 (Cj João Paulo II);60863750
Rua 17 (Cj João Paulo II);60863740
Rua 18 (Cj João Paulo II);60863730
Rua 19 (Cj João Paulo II);60863720
Rua 2 (Cj Antônio Correia);60863435
Rua 2 (Cj Jardim Gloria);60862705
Rua 2 (Cj João Paulo II);60863755
Rua 2 (Res Nova Assunção);60863075
Rua 20 (Cj João Paulo II);60863710
Rua 21 (Cj João Paulo II);60863680
Rua 22 (Cj João Paulo II);60863685
Rua 23 (Cj João Paulo II);60863420
Rua 24 (Cj João Paulo II);60863430
Rua 26 (Cj João Paulo II);60863650
Rua 3 (Cj Antônio Correia);60863445
Rua 3 (Cj João Paulo II);60863840
Rua 3 (Res Nova Assunção);60863085
Rua 30 (Cj João Paulo II);60863700
Rua 4 (Cj Antônio Correia);60863455
Rua 4 (Cj João Paulo II);60863830
Rua 4 (Res Nova Assunção);60863095
Rua 5 (Cj Antônio Correia);60863465
Rua 5 (Cj João Paulo II);60863800
Rua 5 (Lot Terra Nova);60863015
Rua 5 (Res Nova Assunção);60863105
Rua 6 (Cj João Paulo II);60863790
Rua 6 (Lot Terra Nova);60863014
Rua 6 (Res Nova Assunção);60863115
Rua 7 (Cj João Paulo II);60863690
Rua 7 (Res Nova Assunção);60863125
Rua 8 (Cj João Paulo II);60863810
Rua 8 (Lot Fortaleza Sul);60862602
Rua 8 (Res Nova Assunção);60863135
Rua 9 (Cj João Paulo II);60863660
Rua A (Cj João Paulo II);60863590
Rua A (Cj Primeiro de Março);60863060
Rua A (Cj Santa Rita);60863585
Rua A (Lot Fortaleza Sul);60862604
Rua A (Lot Jardim Violeta);60862615
Rua Adriano Gaspar Brígido Ribeiro;60862590
Rua Agamenon Fernandes;60863520
Rua Amaro Bandeira;60862750
Rua Ana Macedo;60863515
Rua Ana Tércia;60862622
Rua Antônio Carvalho;60863058
Rua Antônio Carvalho Lima;60862613
Rua Antônio Cavalcante Lima;60862642
Rua Antônio Guilherme;60863535
Rua Antônio Severiano;60863546
Rua Araguari;60862640
Rua Augusto Calheiros de 560/561 ao fim;60863290
Rua B (Cj João Paulo II);60863570
Rua B (Cj Primeiro de Março);60863070
Rua B (Cj Santa Clara);60863726
Rua B (Cj Santa Rita);60863575
Rua B (Lot Fortaleza Sul);60862606
Rua B (Lot Jardim Violeta);60862614
Rua Bandeira;60862012
Rua Beatriz;60862700
Rua Benedita de Freitas;60863215
Rua Benedito Lacerda;60862620
Rua C (Cj João Paulo II);60863560
Rua C (Cj Primeiro de Março);60863080
Rua C (Cj Santa Clara);60863706
Rua C (Cj Santa Rita);60863565
Rua C (Lot Jardim Violeta);60862616
Rua Campo do Remo;60862780
Rua Cecília Cavalcante Lima;60862625
Rua Claúdio Monteiro;60863046
Rua Clayrton Pereira dos Santos;60862646
Rua Cléia;60863280
Rua Cleide;60862710
Rua Confiança;60863040
Rua Conselheiro da Silva;60862610
Rua Coronel José Barbosa;60863270
Rua Coronel Virgílio Távora;60862715
Rua D (Cj João Paulo II);60863550
Rua D (Cj Primeiro de Março);60863090
Rua D (Cj Santa Clara);60863736
Rua da Bandeira;60862028
Rua da Escolinha;60863580
Rua da Glória;60863475
Rua da Solidariedade;60863205
Rua Daura;60862760
Rua Denise dos Santos;60863056
Rua Diagonal;60862605
Rua do Pensamento;60863705
Rua Dorinete Ribeiro Alves;60862648
Rua dos Lírios;60863625
Rua dos Ventos;60863735
Rua Doutor Francisco José Cavalcante Lima;60862635
Rua Doutor Iran Eduardo Lima Filho;60862655
Rua Doutor José Euclides Gomes;60863505
Rua Doze de Outubro;60863725
Rua E (Cj João Paulo II);60863530
Rua E (Cj Primeiro de Março);60863100
Rua Elane Cavalcante;60863355
Rua Elenir Botelho;60863038
Rua Elói de Sousa;60863027
Rua Erbenia Araújo;60863495
Rua Escritor Tom Jobim;60863545
Rua F (Cj João Paulo II);60863480
Rua F (Cj Primeiro de Março);60863110
Rua Fátima Edwirges;60862736
Rua Felicidade;60863704
Rua Flora Verde;60863596
Rua Francisca Bezerra Lima;60862595
Rua Francisco Igor;60862840
Rua Francisco José da Costa;60862630
Rua Francisco Nepomuceno;60863250
Rua G;60863207
Rua G (Cj João Paulo II);60863470
Rua G (Cj Primeiro de Março);60863120
Rua G (Cj Santa Clara);60863716
Rua Geraldo Soares;60863220
Rua Guilherme Assunção;60862670
Rua H (Cj João Paulo II);60863450
Rua H (Cj Primeiro de Março);60863130
Rua Haroldo Mendes de Mesquita;60863675
Rua I (Cj Primeiro de Março);60863140
Rua Icaraçu;60862690
Rua Idalina Murinely;60863245
Rua Idelzuite Almeida;60863225
Rua Imperatriz;60863525
Rua Íngrid Viana;60862618
Rua Israel Cintra;60862645
Rua Itaguari;60863610
