Endereços;CEP
Avenida Humberto Monte até 1957 lado ímpar;60442611
Avenida Humberto Monte de 1959 a 2389 lado ímpar;60442613
Avenida João Pessoa de 5200 a 5650 lado par;60442109
Avenida José Bastos de 4302 a 4800 lado par;60442108
Avenida José Bastos de 4315 a 4789 lado ímpar;60442105
Beco da Parada;60442110
Praça Maciel de Brito;60442632
Praça Prudente de Moraes;60442530
Praça Washington Luiz;60441830
Rua 1 (Cj Res Pan Americano);60442115
Rua 2 (Cj Res Pan Americano);60442125
Rua 4 (Cj Res Pan Americano);60442135
Rua Amazonas;60441685
Rua Ana Carolina;60442471
Rua Argentina;60442440
Rua Bolívia até 298/299;60442462
Rua Castilho Soares;60442475
Rua Chile até 398/399;60442464
Rua Coronel Nunes de Melo de 2001/2002 ao fim;60441720
Rua Coronel Tarcísio Vieira;60441670
Rua Desembargador Praxedes até 148 lado par;60442101
Rua dos Estados;60441410
Rua Goiás até 618/619;60441125
Rua João Melo de 371/372 a 773/774;60442107
Rua José Bastos - de 4314 a 4800 - lado par;60442111
Rua José Bastos - de 4315 a 4789 - lado ímpar;60442112
Rua José Freitas da Silva até 199/200;60442242
Rua Major Pedro Sampaio de 1991/1992 ao fim;60441790
Rua Maria Quitéria;60441660
Rua Mário de Andrade até 1589/1590;60442132
Rua Matos Vasconcelos de 1291/1292 a 1699/1700;60442103
Rua Miguel Gonçalves de 301/302 ao fim;60442100
Rua Minas Gerais até 379/380;60441135
Rua Ministro Sérgio Mota;60441385
Rua Monsenhor Furtado de 2001/2002 ao fim;60441750
Rua Oscar Lopes;60442510
Rua Papi Júnior de 1951/1952 ao fim;60441690
Rua Primeiro de Agosto;60441741
Rua Rio Grande do Sul até 509/510;60441145
Rua Rondônia;60441680
Rua Santa Catarina até 119/120;60441150
Rua Três de Maio até 1459/1460;60442202
Rua Uruguai;60442590
Rua Vinte e Um de Abril até 589/590;60442605
Rua Viriato Ribeiro até 1608/1609;60442642
Travessa Antônio Carlos;60441477
Travessa Augusto Brandão;60442205
Travessa Beira Rio;60441470
Travessa Ciro Gomes;60441742
Travessa Coreaçu;60441740
Travessa Coreaçu;60441770
Travessa da Paz;60442432
Travessa Dezenove de Novembro;60441743
Travessa Francisco Franco;60442120
Travessa Matos Vasconcelos;60442104
Travessa Palmeira;60442473
Travessa Papi Júnior;60441700
Travessa Santo Antônio;60442474
Travessa São José;60442476
Travessa Vinte e Um de Abril;60442630
Vila Adelaide;60441146
Vila Angola;60442260
Vila Araújo;60441450
Vila Aureli;60442450
Vila Belo Horizonte;60441412
Vila Bezaliel;60442280
Vila Campos;60442617
Vila Costa;60441430
Vila das Flores;60441110
Vila Dias;60442480
Vila Domingos da Costa;60441480
Vila Dona Hilda;60442330
Vila Doutor Menezes;60442160
Vila Édna;60441490
Vila Falcão;60442490
Vila Francisca Gonçalves;60442190
Vila Genézia;60442340
Vila Geni;60441710
Vila Gerânio;60442601
Vila Goin;60441120
Vila Graciosa;60441383
Vila Guilardo;60442360
Vila Honorato;60442500
Vila Íris;60441500
Vila Isabel;60442609
Vila Jaburu;60441130
Vila Josué Venâncio;60442180
Vila Lúcia de Fátima;60441510
Vila Luís Gomes;60426240
Vila Macêdo;60442616
Vila Marcolino;60441460
Vila Mário de Andrade;60442140
Vila Mateus;60441400
Vila Medeiros;60442370
Vila Mercúrio;60442220
Vila Milton;60441730
Vila Mundor Alves;60442230
Vila Nossa Senhora da Conceição;60441440
Vila Nossa Senhora da Guia;60442170
Vila Nossa Senhora de Lourdes;60442603
Vila Paulino Gomes;60441420
Vila Pio X;60442390
Vila Presidente Kennedy;60441414
Vila Queiros;60442540
Vila Racine;60442550
Vila Ramenzoni;60441540
Vila Regina Célia;60441810
Vila Ribeiro;60441140
Vila Rio Real;60441684
Vila Rufino;60442210
Vila Santa Ana;60442560
Vila Santa Lúcia;60441550
Vila Santo André;60442400
Vila São Francisco;60442570
Vila São João;60442580
Vila Silveira;60442614
Vila Sombra;60442150
Vila Trapia;60441560
Vila Viana;60442600
Vila Vinte e Um de Abril;60442620
Vila Vítor;60426180
Vila Xavier;60441686
Vila Xavier de Lima;60442607
Vila York;60442650
