Endereços;CEP
Avenida 13 de Maio 2266;60040959
Avenida 13 de Maio 2266;60040975
Avenida da Universidade 2853;60020903
Rua Senador Pompeu 2508;60025900
Avenida 13 de Maio - de 1991 ao fim - lado ímpar;60040215
Avenida 13 de Maio - de 1992 ao fim - lado par;60040212
Avenida da Universidade até 2799/2800;60020180
Avenida da Universidade de 2801/2802 ao fim;60020181
Avenida dos Expedicionários até 3658 lado par;60411136
Avenida Eduardo Girão lado par;60020351
Avenida Imperador de 1361 ao fim lado ímpar;60015025
Avenida João Pessoa até 3499/3500;60020175
Avenida José Bastos até 2799 lado ímpar;60020185
Avenida José Jatahy de 1901 ao fim lado ímpar;60020295
Avenida Tristão Gonçalves de 1311 ao fim lado ímpar;60015005
Avenida Tristão Gonçalves de 1312 ao fim lado par;60015002
Praça Abolicionista Isaac Amaral;60020370
Praça Coronel João Gentil;60040590
Praça Presidente Vargas;60020400
Rua Adolfo Herbster;60020330
Rua Antenor Frota Wanderley;60020350
Rua Antônio Pompeu de 941 a 1399 lado ímpar;60040001
Rua Aracati;60020240
Rua Aratuba;60040540
Rua Aurora;60040400
Rua Batoque;60015345
Rua Caio Carlos;60020190
Rua Carapinima;60015290
Rua Carlos Câmara até 1199/1200;60020150
Rua Confúcio Pamplona;60015390
Rua Costa Sousa;60020300
Rua Dom Jerônimo de 681/682 ao fim;60015355
Rua Domingos Olímpio de 991 a 1499 lado ímpar;60040081
Rua Domingos Olímpio de 992 a 1500 lado par;60040082
Rua dos Praçinhas lado ímpar;60015331
Rua Edson Alves de Oliveira;60015370
Rua General Sampaio de 1790/1791 ao fim;60020031
Rua Gervásio de Castro até 198/199;60015343
Rua Inácio Barroso;60015360
Rua Instituto do Ceará;60015300
Rua João Gentil;60020100
Rua Joaquim Feijó;60020360
Rua Joaquim Magalhães até 298/299;60040160
Rua Jorge Dumar até 1549/1550;60020055
Rua José Bastos - até 2799/2800;60020183
Rua José Viana de Araújo;60040150
Rua Júlio César até 349/350;60020080
Rua Justiniano de Serpa de 681/682 ao fim;60015335
Rua Juvenal Galeno;60015340
Rua Leandro Monteiro;60025200
Rua Luís de Miranda lado ímpar;60015330
Rua Major Laurindo até 239/240;60020070
Rua Manuelito Moreira;60025210
Rua Marechal Deodoro até 863/864;60020060
Rua Marechal Deodoro de 865/866 ao fim;60020061
Rua Martinópole;60020170
Rua Nossa Senhora dos Remédios;60020120
Rua Olívio Câmara de 130/131 ao fim;60040145
Rua Padre Cícero até 298/299;60020355
Rua Padre Francisco Pinto;60020290
Rua Padre João Wassen;60020320
Rua Padre Miguelinho de 1401/1402 ao fim;60025205
Rua Paulino Nogueira;60020270
Rua Pequena;60015350
Rua Princesa Isabel de 1950/1951 ao fim;60015035
Rua Professor José Mendes;60020280
Rua Quintino Bocaiúva de 901/902 ao fim;60040148
Rua Quixadá;60020200
Rua Redenção;60020160
Rua Santo Antônio;60020090
Rua Senador Catunda;60015320
Rua Senador Pompeu de 1822/1823 ao fim;60025002
Rua Tatuí;60015040
Rua Temístocles Machado;60025010
Rua Teresa Cristina de 1950/1951 ao fim;60015038
Rua Vinte e Quatro de Maio de 1390/1391 ao fim;60020001
Rua Waldery Uchôa até 727/728;60020110
Travessa Ari da Silva Marinho;60040140
Travessa José Bastos;60020292
Vila Antônio Augusto;60020380
Vila Antônio de Souza;60040220
Vila Antônio Miranda;60015430
Vila Arteiro;60020250
Vila Bruno;60020220
Vila Célia Maria;60015490
Vila Confúcio Pamplona;60015400
Vila Cordeiro;60015020
Vila Demétrios;60040210
Vila Diva;60040600
Vila Elizabet;60020010
Vila Gentilândia;60020130
Vila Gurgel;60015380
Vila Manuel Pedro;60015510
Vila Oito de Maio;60015410
Vila Olímpica;60040090
Vila Royal;60020260
Vila Rufino Coelho;60020340
Vila Santa Cecília;60020140
Vila Santa Mariana;60020210
Vila Santana;60020410
Vila Santo Antônio;60020020
Vila São Luís;60015030
Vila São Vicente;60015420
Vila Triunfo;60020310
Vila Vitória;60020230
