Endereços;CEP
Avenida Alberto Craveiro 2505;60861972
Avenida Alberto Craveiro 2585 Loja 5;60861975
Avenida Alberto Craveiro 2900;60861901
Avenida Alberto Craveiro de 1001 ao fim lado ímpar;60861211
Avenida Alberto Craveiro de 1002 ao fim lado par;60861212
Avenida Deputado Paulino Rocha de 2012 ao fim lado par;60867585
Avenida Doutor Silas Munguba de 4997 ao fim lado ímpar;60861063
Rua 10 (Loteamento Parque Zelândia);60861133
Rua 1º de Abril;60861105
Rua Adélia Feijó;60867620
Rua Ademar Paula;60867640
Rua Aluísio Coelho;60861122
Rua Antônio Farias;60861118
Rua Antônio Ferreira;60861128
Rua Aristides Lobo;60861090
Rua Boa Vista;60860735
Rua Caio Martins;60860720
Rua Canamari;60867586
Rua Carla Bezerra Saboia;60867685
Rua Carlos Silva;60743540
Rua Conde Januário;60861025
Rua Corumbá;60861124
Rua Crisanto Barroso Nogueira;60861145
Rua Daniel;60860698
Rua Dois de Abril;60861100
Rua Edno Alves de Oliveira;60867550
Rua Fiscal Assis Saraiva;60861132
Rua Francisco Nogueira da Silva (Lot Esplanada Castelão);60867670
Rua Francisco Vilela;60861140
Rua General Romel;60861160
Rua Geórgia Bezerra Sabóia;60867590
Rua Guadalajara;60861130
Rua Hélio Gois;60743580
Rua Humberto Holanda Cassunde;60867560
Rua I (Lot Esplanada Castelão);60867610
Rua Inês Brasil;60867540
Rua Inês Dantas de Menezes;60867570
Rua Iracy de Souza;60867700
Rua Jabaquara;60861200
Rua Joana Moreira;60860780
Rua João Valente;60861210
Rua José Albino;60860690
Rua José Augusto;60861170
Rua José Batista de Oliveira;60861075
Rua José Batista Filho;60861055
Rua José da Franca Cabral;60867580
Rua José Messias Matos;60861190
Rua K (Lot Esplanada Castelão);60867630
Rua Lairton Ribeiro;60861096
Rua M (Lot Esplanada do Castelão);60867650
Rua Maestro Néo Miranda;60867530
Rua Major Moreira;60860760
Rua Manoel de Aguiar Pontes;60867695
Rua Manuel Rodrigues;60861015
Rua Maria Luiza Fontenele;60861020
Rua N (Lot Esplanada Castelão);60867660
Rua Nossa Senhora do Monte Carmelo;60861040
Rua P (Lot Esplanada Castelão);60867680
Rua Padre Nicolino;60861540
Rua Paula Frassinetti;60861070
Rua Paulo Façanha;60861155
Rua Professor Nelson Alves;60860730
Rua Q (Lot Esplanada Castelão);60867690
Rua Quatro Irmãos;60861045
Rua Santana da Parnaíba;60861098
Rua Santo Antônio;60861120
Rua São Sebastião;60861030
Rua Tenente Jonas;60861150
Rua Trinta de Abril;60861135
Rua Trinta e Um de Abril;60861138
Travessa Antônio Ferreira;60861126
Travessa Boa Vista;60860715
Travessa Caieira;60861050
Travessa da Cacira;60861085
Travessa Gabriel Aguiar;60861110
Travessa Joana Moreira;60860782
Travessa João Paulo II;60860705
Travessa José Batista Filho;60861056
Travessa Lagoinha;60860710
Travessa Leandro;60860685
Travessa Leonardo;60860686
Travessa Major Moreira;60860765
Travessa Marciano;60860712
Travessa Maria de Jesus;60861092
Travessa Mariópolis;60861060
Travessa Messias Mendes;60860790
Travessa Nilton Paiva;60861010
Travessa Pindero;60861205
Travessa Quatro Irmãos;60861046
Travessa Sabiá;60860714
Travessa Sérgio Reis;60860725
Travessa Serralheiro;60861125
Travessa Sula Miranda;60860695
Travessa Teixeira de Paula;60861104
Travessa Trinta de Abril;60861136
Via Marginal Riacho Martinho;60860675
Vila Antônios;60860770
Vila Beira Rio;60860750
Vila Caio Martins;60860670
Vila Dois de Abril;60861102
Vila Gemina;60861171
Vila Itaici;60861095
Vila Lucy;60861220
Vila Marte;60861048
Vila Mateus;60860762
Vila Nova América;60860700
Vila Paulino;60861065
Vila Pitu;60860740
Vila Quatro Irmãos;60861047
Vila Rolim;60860711
Vila Santa Cirila;60861115
Vila São Francisco;60861162
Vila Silveira;60861035
Vila Viana;60860660
Vila Vinte e Nove de Maio;60861106
