Endereços;CEP
Avenida Professor Gomes de Matos 798;60410970
Avenida Professor Gomes de Matos de 352 a 1034 lado par;60416392
Praça de Nazaré;60416370
Rua Afrodísio Gondim;60416420
Rua Alberto Magno de 121/122 a 648/649;60425235
Rua Aquiraz;60425230
Rua Desembargador Praxedes de 411 a 999 lado ímpar;60416172
Rua Diacuí;60416410
Rua Dulcinéia Gondim de 200/201 ao fim;60416480
Rua Edite Braga de 625/626 a 1279/1280;60425232
Rua Eugênia;60416500
Rua Eusébio de Queirós até 228/229;60425142
Rua Frei Orlando;60425290
Rua Guaiúba;60416400
Rua Júlio César de 1301 a 2049 lado ímpar;60425236
Rua Lupercínio Rodrigues;60425360
Rua Marco;60425150
Rua Padre Macêdo até 248/249;60416388
Rua Pedro Machado até 684/685;60416432
Rua Porteiras;60425240
Rua Professor Costa Mendes de 181/182 a 699/700;60416200
Rua Raul Uchôa de 201/202 ao fim;60416510
Rua Samuel Uchôa - de 121 a 699 - lado ímpar;60416205
Rua Santana do Acarau;60416440
Rua Solonópolis;60425030
Travessa Alberto Magno;60425010
Travessa Felipe Camarão;60416470
Travessa Lidice;60425040
Travessa Professor Costa Mendes;60416210
Travessa São Pedro;60416531
Vila Afrodite;60425050
Vila Alberto Magno;60425020
Vila Ariel;60425291
Vila Cabral;60425380
Vila Cardoso;60416240
Vila Chaves;60416450
Vila Coronel Martinho Neto;60425300
Vila Edmundo;60425200
Vila Eduardo Leite;60416350
Vila Furtado Macêdo;60425420
Vila José Chaves;60416560
Vila Julião;60425430
Vila Júlio César;60425370
Vila Lindóia;60416460
Vila Marco;60425160
Vila Margarida Maria;60425250
Vila Orlândia;60425450
Vila Professor Costa Mendes;60416220
Vila Salete;60416384
Vila Santa Rosa;60416490
Vila São Francisco;60416550
Vila São João;60425310
Vila São Paulo;60416520
Vila Terezinha;60425460
Vila Valéria;60425400
Vila Verçosa;60416396
