Endereços;CEP
Avenida General Osório de Paiva ;60731534
Avenida Oscar Araripe;60543452
Avenida Oscar Araripe ;60543451
Avenida Paisagística;60546360
Conjunto Dom Lustosa;60543200
Rua 1 ;60545011
Rua 1 ;60546220
Rua 10;60546310
Rua 11;60546320
Rua 12;60546330
Rua 2 (Cj Campo Ouro Preto);60545012
Rua 2 (Cj Estrada do Urucutuba);60546230
Rua 3 (Cj Campo Ouro Preto);60545013
Rua 3 (Cj Estrada do Urucutuba);60546240
Rua 4 (Cj Estrada Urucutuba);60546250
Rua 5 (Cj Estrada do Urucutuba);60546260
Rua 6;60546270
Rua 7 (Cj Est Urucutuba);60546280
Rua 8 (Cj Est Urucutuba);60546290
Rua 9 (Cj Est Urucutuba);60546300
Rua A;60540661
Rua A (Cj Dom Lustosa);60543290
Rua A (Cj Irmã Dulce II);60543620
Rua A (Cj Nova Residência);60546100
Rua A (Cj Santo Amaro);60543318
Rua Aguapé Verde;60731536
Rua Aguiar Coelho;60542210
Rua Airton Senna;60546030
Rua Ateneu;60543327
Rua Atoba;60546040
Rua B;60540662
Rua B (Cj Dom Lustosa);60543300
Rua B (Cj Irmã Dulce II);60543630
Rua B (Cj Nova Residência);60546110
Rua B (Cj Santo Amaro);60543323
Rua Bom Jesus até 894/895;60543365
Rua Bom Jesus de 896/897 a 1846/1847;60543362
Rua C;60540663
Rua C (Cj Dom Lustosa);60543340
Rua C (Cj Irmã Dulce II);60543640
Rua C (Cj Nova Residência);60546120
Rua Canal Norte;60546340
Rua Ciranda;60546060
Rua Coronel João Correia até 958/959;60543325
Rua Coronel João Correia de 960/961 a 1971/1972;60543322
Rua Coronel Virgílio Nogueira ;60545105
Rua Coronel Virgílio Nogueira;60545103
Rua D;60543650
Rua D ;60546130
Rua Dandara Ketley ;60543301
Rua Diana Kelly;60543298
Rua Dona Lourdes;60731531
Rua Doutor Fernando Augusto ;60543375
;60543372
Rua E ;60546140
Rua Edson Martins;60543454
;60543456
Rua F ;60546150
Rua Franciscano;60731538
Rua G;60546160
Rua Geraldo Barbosa;60543335
;60543332
Rua Guaira;60731660
Rua H ;60546170
Rua Itu ;60545062
Rua Itu ;60545065
Rua Jardim Paroara ;60731572
Rua João Damasceno;60731670
Rua João Victor;60546210
Rua José Martins;60543458
;60543462
Rua LO 01;60543520
Rua LO 02 ;60543530
Rua LO 03 ;60543540
Rua LO 04 ;60543550
Rua Lupercínio Rodrigues;60542620
Rua Macapuru;60545760
Rua Maranguape ;60731555
Rua Marcelo Santa Fé ;60731612
Rua Maria Júlia ;60545042
Rua Maria Júlia ;60545045
Rua Martins Carvalho;60543345
Rua Mirtes Cordeiro;60543464
;60543466
Rua Mongólia;60546050
Rua Monsenhor Sabino Feijão ;60545022
;60545025
Rua NE 01 ;60543385
Rua NE 02 ;60543395
Rua NE 03 ;60543405
Rua NE 04 ;60543415
Rua NE 05 ;60543425
Rua NE 06 ;60543435
Rua NE 07 ;60543445
Rua NE 08 ;60543455
Rua NE 09 ;60543465
Rua NE 10 ;60543475
Rua NE 11 ;60543485
Rua NE 12 ;60543495
Rua NE 13 ;60543515
Rua NE 17 ;60543525
Rua NE 18 ;60543535
Rua NE 19 ;60543545
Rua NE 20 ;60543555
Rua Nova Conquista;60543355
Rua Nova Conquista ;60543352
Rua Nova Friburgo;60543295
