V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;Concatenando;Concatenado
23;440;FORTALEZA;65;MESSEJANA;9;50;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA VICENTE LOPES"" - ""AVENI";;
23;440;FORTALEZA;65;MESSEJANA;9;50;2;2;"DA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - """;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA VICENTE LOPES"" - ""AVENIDA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - """;
23;440;FORTALEZA;65;MESSEJANA;9;50;2;3;"RUA ESCRIVAO AZEVEDO"" - ""RUA JOAO MACIEL"" ATE O PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA VICENTE LOPES"" - ""AVENIDA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - ""DA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - ""RUA ESCRIVAO AZEVEDO"" - ""RUA JOAO MACIEL"" ATE O PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA VICENTE LOPES"" - ""AVENIDA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - ""DA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - ""RUA ESCRIVAO AZEVEDO"" - ""RUA JOAO MACIEL"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;51;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA GENERAL CASTELO BRANCO"" DAI ATE A ""RUA FERNA";;
23;440;FORTALEZA;65;MESSEJANA;9;51;2;2;"NDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A """;": DO PONTO INICIAL SEGUE ATE A ""RUA GENERAL CASTELO BRANCO"" DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A """;
23;440;FORTALEZA;65;MESSEJANA;9;51;2;3;"AVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIAL";": DO PONTO INICIAL SEGUE ATE A ""RUA GENERAL CASTELO BRANCO"" DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""NDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""AVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIAL";
23;440;FORTALEZA;65;MESSEJANA;9;51;2;4;NaN;": DO PONTO INICIAL SEGUE ATE A ""RUA GENERAL CASTELO BRANCO"" DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""NDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""AVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALAVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALNaN";": DO PONTO INICIAL SEGUE ATE A ""RUA GENERAL CASTELO BRANCO"" DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""NDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""AVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALAVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALNaN"
23;440;FORTALEZA;65;MESSEJANA;9;52;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI AT";;
23;440;FORTALEZA;65;MESSEJANA;9;52;2;2;"E A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""A";": DO PONTO INICIAL SEGUE ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""A";
23;440;FORTALEZA;65;MESSEJANA;9;52;2;3;"VENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIAL";": DO PONTO INICIAL SEGUE ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""AE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""AVENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIAL";
23;440;FORTALEZA;65;MESSEJANA;9;52;2;4;NaN;": DO PONTO INICIAL SEGUE ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""AE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""AVENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALVENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALNaN";": DO PONTO INICIAL SEGUE ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""AE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""AVENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALVENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALNaN"
23;440;FORTALEZA;65;MESSEJANA;9;53;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA DOUTOR JOSE FURTADO"" DAI ATE A ""AVENIDA VIEN";;
23;440;FORTALEZA;65;MESSEJANA;9;53;2;2;"A WEINE"" OU (JOAQUIM FROTA) DAI ATE A ""AVENIDA DEPUTADO JOAQUIM DE FIGUEREDO COR";": DO PONTO INICIAL SEGUE ATE A ""RUA DOUTOR JOSE FURTADO"" DAI ATE A ""AVENIDA VIENA WEINE"" OU (JOAQUIM FROTA) DAI ATE A ""AVENIDA DEPUTADO JOAQUIM DE FIGUEREDO COR";
