V1;V2;V3;V4;V5;V6;V7;V8;V9;V11
23;440;FORTALEZA;65;MESSEJANA;9;50;2;3;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA VICENTE LOPES"" - ""AVENIDA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - ""DA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - ""RUA ESCRIVAO AZEVEDO"" - ""RUA JOAO MACIEL"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;51;2;4;": DO PONTO INICIAL SEGUE ATE A ""RUA GENERAL CASTELO BRANCO"" DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""NDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""AVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALAVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALNaN"
23;440;FORTALEZA;65;MESSEJANA;9;52;2;4;": DO PONTO INICIAL SEGUE ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""AE A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""AVENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALVENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIALNaN"
23;440;FORTALEZA;65;MESSEJANA;9;53;2;3;": DO PONTO INICIAL SEGUE ATE A ""RUA DOUTOR JOSE FURTADO"" DAI ATE A ""AVENIDA VIENA WEINE"" OU (JOAQUIM FROTA) DAI ATE A ""AVENIDA DEPUTADO JOAQUIM DE FIGUEREDO CORA WEINE"" OU (JOAQUIM FROTA) DAI ATE A ""AVENIDA DEPUTADO JOAQUIM DE FIGUEREDO CORREIA"" OU ""RUA MONSENHOR ANTERO"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;54;2;3;": DO PONTO INICIAL SEGUE ATE A ""AVENIDA DEPUTADO JOAQUIM FIGUEREDO CORREIA"" (RUA MONSENHOR ANTERO) DAI EM UMA +RETA+ ATE A ""RUA CHICO LEMOS"" ATE O PONTO INICIAL MONSENHOR ANTERO) DAI EM UMA +RETA+ ATE A ""RUA CHICO LEMOS"" ATE O PONTO INICIALNaN"
23;440;FORTALEZA;65;MESSEJANA;9;55;2;4;": DO PONTO INICIAL SEGUE ATE A ""RUA CHICO LEMOS"" DAI SEGUE EM UMA +RETA+ ATE A ""AVENIDA DEPUTADO JOAQUIM FIGUEREDO CORREIA"" (RUA MONSENHOR ANTERO) - :ESTRADA DOAVENIDA DEPUTADO JOAQUIM FIGUEREDO CORREIA"" (RUA MONSENHOR ANTERO) - :ESTRADA DO SITIO CANABEBAI"" - ""AVENIDA DESEMBARGADOR GONZAGA"" ATE PONTO INICIAL SITIO CANABEBAI"" - ""AVENIDA DESEMBARGADOR GONZAGA"" ATE PONTO INICIALNaN"
23;440;FORTALEZA;65;MESSEJANA;9;56;2;2;": DO PONTO INICIAL SEGUE ATE A ""AVENIDA DESEMBARGADOR GONZAGA"" DAI ATE A ""RUA ENFERMEIRO JOAQUIM PINTO"" DAI ATE A ""BR 116"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;57;2;3;": DO PONTO INICIAL SEGUE PELA ""RUA ESCRIVAO AZEVEDO"" - ""RUA CICERO"" - ""RUA HENRIQUE JUSTA"" - ""RUA CHICO LEMOS"" - ""AVENIDA OLIVEIRA PAIVA"" - ""BR-116"" ATE O PONTOQUE JUSTA"" - ""RUA CHICO LEMOS"" - ""AVENIDA OLIVEIRA PAIVA"" - ""BR-116"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;58;2;4;": DO PONTO INICIAL SEGUE PELA ""RUA TENENTE NICOLAU"" - ""RUA TEODOFREDO GOIANO"" -RUA MONSENHOR HIPOLITO OU RUA DA AMIZADE - ""RUA DESEMBARGADOR GONZAGA"" - ""RUARUA MONSENHOR HIPOLITO OU RUA DA AMIZADE - ""RUA DESEMBARGADOR GONZAGA"" - ""RUAMARGARIDA QUEIROZ"" - ""RUA MELO CESAR"" - ""RUA ESCRIVAO AZEVEDO"" - ""BR-116"" ATE OMARGARIDA QUEIROZ"" - ""RUA MELO CESAR"" - ""RUA ESCRIVAO AZEVEDO"" - ""BR-116"" ATE OPONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;59;2;3;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA JOAO MACIEL"" - ""RUA ESCRIVAO AZEVEDO"" - ""RUA MELO CESAR"" - ""RUA MARGARIDA QUEIROZ"" - ""RUA DESEMBARGADORRIVAO AZEVEDO"" - ""RUA MELO CESAR"" - ""RUA MARGARIDA QUEIROZ"" - ""RUA DESEMBARGADOR GONZAGA"" ATE O PONTO INICIAL"
