V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
23;440;FORTALEZA;65;MESSEJANA;9;50;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA VICENTE LOPES"" - ""AVENI"
23;440;FORTALEZA;65;MESSEJANA;9;50;2;2;"DA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - """
23;440;FORTALEZA;65;MESSEJANA;9;50;2;3;"RUA ESCRIVAO AZEVEDO"" - ""RUA JOAO MACIEL"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;51;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA GENERAL CASTELO BRANCO"" DAI ATE A ""RUA FERNA"
23;440;FORTALEZA;65;MESSEJANA;9;51;2;2;"NDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A """
23;440;FORTALEZA;65;MESSEJANA;9;51;2;3;"AVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;51;2;4;NaN
23;440;FORTALEZA;65;MESSEJANA;9;52;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI AT"
23;440;FORTALEZA;65;MESSEJANA;9;52;2;2;"E A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""A"
23;440;FORTALEZA;65;MESSEJANA;9;52;2;3;"VENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;52;2;4;NaN
23;440;FORTALEZA;65;MESSEJANA;9;53;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA DOUTOR JOSE FURTADO"" DAI ATE A ""AVENIDA VIEN"
23;440;FORTALEZA;65;MESSEJANA;9;53;2;2;"A WEINE"" OU (JOAQUIM FROTA) DAI ATE A ""AVENIDA DEPUTADO JOAQUIM DE FIGUEREDO COR"
23;440;FORTALEZA;65;MESSEJANA;9;53;2;3;"REIA"" OU ""RUA MONSENHOR ANTERO"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;54;2;1;": DO PONTO INICIAL SEGUE ATE A ""AVENIDA DEPUTADO JOAQUIM FIGUEREDO CORREIA"" (RUA"
23;440;FORTALEZA;65;MESSEJANA;9;54;2;2;" MONSENHOR ANTERO) DAI EM UMA +RETA+ ATE A ""RUA CHICO LEMOS"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;54;2;3;NaN
23;440;FORTALEZA;65;MESSEJANA;9;55;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA CHICO LEMOS"" DAI SEGUE EM UMA +RETA+ ATE A """
23;440;FORTALEZA;65;MESSEJANA;9;55;2;2;"AVENIDA DEPUTADO JOAQUIM FIGUEREDO CORREIA"" (RUA MONSENHOR ANTERO) - :ESTRADA DO"
23;440;FORTALEZA;65;MESSEJANA;9;55;2;3;" SITIO CANABEBAI"" - ""AVENIDA DESEMBARGADOR GONZAGA"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;55;2;4;NaN
23;440;FORTALEZA;65;MESSEJANA;9;56;2;1;": DO PONTO INICIAL SEGUE ATE A ""AVENIDA DESEMBARGADOR GONZAGA"" DAI ATE A ""RUA EN"
23;440;FORTALEZA;65;MESSEJANA;9;56;2;2;"FERMEIRO JOAQUIM PINTO"" DAI ATE A ""BR 116"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;57;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA ESCRIVAO AZEVEDO"" - ""RUA CICERO"" - ""RUA HENRI"
23;440;FORTALEZA;65;MESSEJANA;9;57;2;2;"QUE JUSTA"" - ""RUA CHICO LEMOS"" - ""AVENIDA OLIVEIRA PAIVA"" - ""BR-116"" ATE O PONTO"
23;440;FORTALEZA;65;MESSEJANA;9;57;2;3; INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;58;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA TENENTE NICOLAU"" - ""RUA TEODOFREDO GOIANO"" -"
23;440;FORTALEZA;65;MESSEJANA;9;58;2;2;"RUA MONSENHOR HIPOLITO OU RUA DA AMIZADE - ""RUA DESEMBARGADOR GONZAGA"" - ""RUA"
23;440;FORTALEZA;65;MESSEJANA;9;58;2;3;"MARGARIDA QUEIROZ"" - ""RUA MELO CESAR"" - ""RUA ESCRIVAO AZEVEDO"" - ""BR-116"" ATE O"
23;440;FORTALEZA;65;MESSEJANA;9;58;2;4;PONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;59;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA JOAO MACIEL"" - ""RUA ESC"
23;440;FORTALEZA;65;MESSEJANA;9;59;2;2;"RIVAO AZEVEDO"" - ""RUA MELO CESAR"" - ""RUA MARGARIDA QUEIROZ"" - ""RUA DESEMBARGADOR"
23;440;FORTALEZA;65;MESSEJANA;9;59;2;3;" GONZAGA"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;60;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" ATE ""RUA FREI CANECA"" ATE ""AVE"
23;440;FORTALEZA;65;MESSEJANA;9;60;2;2;"NIDA DESEMBARGADOR GONZAGA"" - ""RUA MONSENHOR HIPOLITO"" OU ""RUA DA AMIZADE"" - ""RU"
23;440;FORTALEZA;65;MESSEJANA;9;60;2;3;"A TEODOFREDO GOIANO"" - ""RUA TENENTE NICOLAU"" - ""RUA TEOFREDO GOIANA"" - ""RUA CAMP"
23;440;FORTALEZA;65;MESSEJANA;9;60;2;4;"OS GERAIS"" - ""RUA MELO CESAR"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;61;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA MELO CESAR"" - ""RUA CAMP"
23;440;FORTALEZA;65;MESSEJANA;9;61;2;2;"OS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PON"
23;440;FORTALEZA;65;MESSEJANA;9;61;2;3;TO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;62;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA PADRE FRANCISCO PITA"" - ""RUA DESEMBARGADOR FA"
23;440;FORTALEZA;65;MESSEJANA;9;62;2;2;"USTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LE"
23;440;FORTALEZA;65;MESSEJANA;9;62;2;3;"ON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA U"
23;440;FORTALEZA;65;MESSEJANA;9;62;2;4;"M"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA TANGARA"" PASSANDO PELAS +SALINAS SAO GERALDO+"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;2;" INCLUSIVE ""RUA FRANCISCO CHAGAS MENDES"" - ""ANTONIO ROCHA BARROS"" - ""RUA AMADOR"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;3;"BUENO"" - ""RUA ARNALDO OSORIO"" - ""RUA PADRE FRANCISCO PITA"" - ""RUA RADIAL LESTE"""
23;440;FORTALEZA;65;MESSEJANA;9;63;2;4;"OU ""AVENIDA UM"" - ""AVENIDA PLACIDO CASTELO"" - ""RODOVIA BR-116"" - ""RIO COCO"" ATE"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;5;PONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;64;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA STENIO GOMES"""
23;440;FORTALEZA;65;MESSEJANA;9;64;2;2;"- ""RUA PADRE FRANCISCO PITA"" - ""RUA ARNALDO OSORIO"" - ""RUA AMADOR BUENO"" ATE PON"
23;440;FORTALEZA;65;MESSEJANA;9;64;2;3;TO INICIAL
