,LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
0,Rua 01 A do Cidade Jardim Fortaleza Gleba A,Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-540
1,Rua 01  (Lot Lagoa da Libânia),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60767-702
2,Rua 01  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-760
3,Rua 02 A do Cidade Jardim Fortaleza Gleba A,Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-570
4,Rua 02  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-763
5,Rua 02 do Loteamento Dom Vicente,Parque Presidente Vargas,"Fortaleza, CE","Parque Presidente Vargas, Fortaleza, CE",60765-537
6,Rua 03  (Loteamento Santa Sofia),Edson Queiroz,"Fortaleza, CE","Edson Queiroz, Fortaleza, CE",60834-275
7,Rua 03  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-766
8,Rua 03 do Loteamento Boa Ventura,Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60764-449
9,Rua 03H  (Residencial Monte Prince I e II),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-050
10,Rua 04  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-769
11,Rua 05  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-772
12,Rua 05 do Loteamento Planalto Aracapé,Aracapé,"Fortaleza, CE","Aracapé, Fortaleza, CE",60764-672
13,Rua 05H do Loteamento Cidade Jardim,Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-025
14,Rua 06  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-774
15,Rua 06 do Loteamento Boa Ventura,Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60764-448
16,Rua 07  (Lot Cristal Ville),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-668
17,Rua 07H  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-030
18,Rua 08  (Lot Cristal Ville),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-669
19,Rua 08 do Loteamento Terra Nova,Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-039
20,Rua 08H  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-020
21,Rua 09  (Lot Cristal Ville),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-660
22,Rua 09H  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-040
23,Avenida 1  (Lot Planalto Canindezinho),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-402
24,Avenida 1  (Cj Gov Tasso Jereissati),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60820-640
25,Avenida 1  (Cj Sítio do Córrego),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-010
26,Largo 1  (Cj Gov Tasso Jereissati),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60820-670
27,Rua 1  (Cj Arvoredo),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-435
28,Rua 1  (Cj Jardim das Flores),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-210
29,Rua 1  (Lot Prq Santana I),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60767-725
30,Rua 1  (Lot Granja Palestina),Parque Presidente Vargas,"Fortaleza, CE","Parque Presidente Vargas, Fortaleza, CE",60765-652
31,Rua 1  (Cj Parque Monsenhor Tabosa),Antônio Bezerra,"Fortaleza, CE","Antônio Bezerra, Fortaleza, CE",60360-052
32,Rua 1  (Lot Alto Boa Vista),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-550
33,Rua 1  (Lot Parque Verde),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60876-785
34,Rua 1  (Cj Apolo XI),Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-672
35,Rua 1  (Lot Prq Santa Terezinha),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60870-842
36,Rua 1  (Lot Boa Ventura),Aracapé,"Fortaleza, CE","Aracapé, Fortaleza, CE",60765-355
37,Rua 1  (Lot Santo Emílio),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-492
38,Rua 1  (Cj Coração de Jesus),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-160
39,Rua 1  (Cj Res Morada da Lagoa),Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60840-170
40,Rua 1  (Cj Tupinambá da Frota),Antônio Bezerra,"Fortaleza, CE","Antônio Bezerra, Fortaleza, CE",60361-260
41,Rua 1  (Cj Alto Alegre),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-390
42,Rua 1  (Cj Antônio Correia),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-425
43,Rua 1  (Cj Res Pan Americano),Bela Vista,"Fortaleza, CE","Bela Vista, Fortaleza, CE",60442-115
44,Rua 1  (Lot São Mateus I),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60768-020
45,Rua 1  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-150
46,Rua 1  (Cj Sítio Aratanha),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60333-360
47,Rua 1  (Cj Gov Tasso Jereissati),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60820-590
48,Rua 1  (Lot Cidade Sul),Parque Iracema,"Fortaleza, CE","Parque Iracema, Fortaleza, CE",60824-000
49,Rua 1  (Lot Sumaré II),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60744-350
50,Rua 1  (Cj Res Doutor Abelardo Rocha),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-600
51,Rua 1  (Cj Polar),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-660
52,Rua 1  (Mutirão Esperança),Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-505
53,Rua 1  (Lot Arvoredo R Center),Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60813-210
54,Rua 1  (Cj Cristo Redentor),Cristo Redentor,"Fortaleza, CE","Cristo Redentor, Fortaleza, CE",60337-660
55,Rua 1  (Cj Caça e Pesca),Praia do Futuro II,"Fortaleza, CE","Praia do Futuro II, Fortaleza, CE",60183-650
56,Rua 1  (Cj Campo dos Inglêses),Jardim Cearense,"Fortaleza, CE","Jardim Cearense, Fortaleza, CE",60712-247
57,Rua 1  (Cj Campo Ouro Verde),Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60545-011
58,Rua 1  (Lot Cidade Leste),Sapiranga-Coité,"Fortaleza, CE","Sapiranga-Coité, Fortaleza, CE",60833-486
59,Rua 1  (Cj Res Coração de Jesus),Aerolândia,"Fortaleza, CE","Aerolândia, Fortaleza, CE",60850-575
60,Rua 1  (Cj Estrada Urucutuba),Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60546-220
61,Rua 1  (Cj Hermes Pereira/Barra Mar),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60330-065
62,Rua 1  (Cj Jardim Castelão),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60862-120
63,Rua 1  (Cj Jardim Glória),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60862-735
64,Rua 1  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-765
65,Rua 1  (Cj Mirassol),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60743-210
66,Rua 1  (Res Napoleão Viana),Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-470
67,Rua 1  (Lot Nova Fortaleza),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60868-745
68,Rua 1  (Pantanal Vila União),Aeroporto,"Fortaleza, CE","Aeroporto, Fortaleza, CE",60422-752
69,Rua 1  (Lot Paraíso),Planalto Ayrton Senna,"Fortaleza, CE","Planalto Ayrton Senna, Fortaleza, CE",60766-550
70,Rua 1  (Cj Parque Boatã),Quintino Cunha,"Fortaleza, CE","Quintino Cunha, Fortaleza, CE",60352-100
71,Rua 1  (Lot Prq Itaigara),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60732-411
72,Rua 1  (Lot Prq Vila Verde),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60821-210
73,Rua 1  (Cj Pequeno Canindezinho),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60733-430
74,Rua 1  (Cj Pequeno Mondubim),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60762-675
75,Rua 1  (Cj Planalto Itaperi),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60761-250
76,Rua 1  (Lot Água Marinha),Sabiaguaba,"Fortaleza, CE","Sabiaguaba, Fortaleza, CE",60835-260
77,Rua 1  (Cj Res Boa Vista),Autran Nunes,"Fortaleza, CE","Autran Nunes, Fortaleza, CE",60527-440
78,Rua 1  (Cj Res Curió),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-481
79,Rua 1  (Res Nova Assunção),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-065
80,Rua 1  (Cj Res Eldorado),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60744-170
81,Rua 1  (Cj Res Passaré),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60744-280
82,Rua 1  (Lot Santa Terezinha),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60763-771
83,Rua 1  (Cj Siqueira),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-120
84,Rua 1  (Cj Sítio do Córrego),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-020
85,Rua 1  (Cj Veneza Tropical),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60743-010
86,Rua 1  (Lot Greenville),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-661
87,Rua 1  (Cj Padre Santana),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60330-781
88,Rua 1  (Lot Res Vila Verde),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-481
89,Rua 1  (Lot Gleba),Manuel Dias Branco,"Fortaleza, CE","Manuel Dias Branco, Fortaleza, CE",60191-330
90,Rua 1  (Cj Jardim Oeste),Quintino Cunha,"Fortaleza, CE","Quintino Cunha, Fortaleza, CE",60352-040
91,Rua 1  (Cj Riacho Doce),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60745-010
92,Rua de Pedestre 1  (Lot Res Sonho Meu),Parangaba,"Fortaleza, CE","Parangaba, Fortaleza, CE",60720-652
93,Travessa 1  (Cj Jardim Castelão),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60862-262
94,Travessa 1  (Cj Caça e Pesca),Praia do Futuro II,"Fortaleza, CE","Praia do Futuro II, Fortaleza, CE",60183-654
95,Travessa 1  (Cj Barroso II),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60867-473
